time,FPS
1679428460,160
1679428461,161
1679428462,160
1679428463,160
1679428464,162
1679428465,164
1679428466,162
1679428467,163
1679428468,161
1679428469,165
1679428470,166
1679428471,163
1679428472,160
1679428473,161
1679428474,167
1679428475,170
1679428476,174
1679428477,172
1679428478,157
1679428479,153
1679428480,161
1679428481,153
1679428482,146
1679428483,146
1679428484,152
1679428485,155
1679428486,153
1679428487,146
1679428488,147
1679428489,148
1679428490,142
1679428491,148
1679428492,150
1679428493,151
1679428494,152
1679428495,156
1679428496,155
1679428497,151
1679428498,149
1679428499,152
1679428500,160
1679428501,164
1679428502,161
1679428503,163
1679428504,164
1679428505,157
1679428506,154
1679428507,149
1679428508,148
1679428509,154
1679428510,153
1679428511,151
1679428512,154
1679428513,158
1679428514,154
1679428515,152
1679428516,153
1679428517,154
1679428518,163
1679428519,158
1679428520,157
1679428521,152
1679428522,152
1679428523,151
1679428524,150
1679428525,154
1679428526,156
1679428527,156
1679428528,154
1679428529,155
1679428530,161
1679428531,159
1679428532,154
1679428533,158
1679428534,158
1679428535,157
1679428536,157
1679428537,159
1679428538,163
1679428539,170
1679428540,166
1679428541,165
1679428542,161
1679428543,156
1679428544,150
1679428545,147
1679428546,149
1679428547,150
1679428548,151
1679428549,152
1679428550,145
1679428551,147
1679428552,148
1679428553,147
1679428554,145
1679428555,146
1679428556,163
1679428557,161
1679428558,155
1679428559,159
1679428560,158
1679428561,159
1679428562,160
1679428563,149
1679428564,145
1679428565,143
1679428566,147
1679428567,149
1679428568,147
1679428569,144
1679428570,144
1679428571,142
1679428572,140
1679428573,139
1679428574,137
1679428575,143
1679428576,145
1679428577,149
1679428578,143
1679428579,145
1679428580,140
1679428581,137
1679428582,136
1679428583,137
1679428584,133
1679428585,134
1679428586,135
1679428587,136
1679428588,140
1679428589,143
1679428590,143
1679428591,143
1679428592,132
