time,FPS
1678904958,159
1678904959,160
1678904960,158
1678904961,158
1678904962,158
1678904963,164
1678904964,162
1678904965,164
1678904966,160
1678904967,162
1678904968,163
1678904969,158
1678904970,163
1678904971,160
1678904972,169
1678904973,172
1678904974,173
1678904975,171
1678904976,154
1678904977,154
1678904978,161
1678904979,152
1678904980,148
1678904981,149
1678904982,156
1678904983,157
1678904984,154
1678904985,146
1678904986,147
1678904987,148
1678904988,146
1678904989,150
1678904990,153
1678904991,151
1678904992,155
1678904993,159
1678904994,155
1678904995,151
1678904996,150
1678904997,156
1678904998,162
1678904999,162
1678905000,162
1678905001,162
1678905002,160
1678905003,153
1678905004,150
1678905005,147
1678905006,149
1678905007,154
1678905008,153
1678905009,152
1678905010,151
1678905011,155
1678905012,155
1678905013,156
1678905014,154
1678905015,156
1678905016,162
1678905017,158
1678905018,157
1678905019,151
1678905020,149
1678905021,148
1678905022,151
1678905023,155
1678905024,156
1678905025,156
1678905026,153
1678905027,161
1678905028,161
1678905029,161
1678905030,159
1678905031,157
1678905032,157
1678905033,157
1678905034,156
1678905035,158
1678905036,156
1678905037,161
1678905038,160
1678905039,154
1678905040,156
1678905041,153
1678905042,148
1678905043,145
1678905044,148
1678905045,147
1678905046,149
1678905047,150
1678905048,151
1678905049,153
1678905050,150
1678905051,146
1678905052,148
1678905053,148
1678905054,149
1678905055,150
1678905056,169
1678905057,162
1678905058,163
1678905059,156
1678905060,159
1678905061,157
1678905062,159
1678905063,145
1678905064,144
1678905065,143
1678905066,147
1678905067,149
1678905068,148
1678905069,144
1678905070,144
1678905071,144
1678905072,141
1678905073,141
1678905074,141
1678905075,141
1678905076,146
1678905077,146
1678905078,140
1678905079,143
1678905080,136
1678905081,135
1678905082,135
1678905083,135
1678905084,132
1678905085,129
1678905086,133
1678905087,130
1678905088,139
1678905089,143
1678905090,142
1678905091,142
