time,FPS
1678130263,219
1678130264,222
1678130265,217
1678130266,217
1678130267,226
1678130268,229
1678130269,228
1678130270,229
1678130271,229
1678130272,227
1678130273,227
1678130274,229
1678130275,233
1678130276,235
1678130277,234
1678130278,236
1678130279,225
1678130280,213
1678130281,212
1678130282,211
1678130283,207
1678130284,201
1678130285,201
1678130286,207
1678130287,210
1678130288,210
1678130289,207
1678130290,213
1678130291,212
1678130292,214
1678130293,208
1678130294,213
1678130295,214
1678130296,216
1678130297,224
1678130298,224
1678130299,222
1678130300,223
1678130301,226
1678130302,231
1678130303,231
1678130304,231
1678130305,231
1678130306,229
1678130307,224
1678130308,219
1678130309,209
1678130310,220
1678130311,219
1678130312,222
1678130313,220
1678130314,223
1678130315,226
1678130316,223
1678130317,224
1678130318,225
1678130319,225
1678130320,229
1678130321,226
1678130322,222
1678130323,222
1678130324,222
1678130325,221
1678130326,223
1678130327,224
1678130328,223
1678130329,223
1678130330,222
1678130331,229
1678130332,231
1678130333,230
1678130334,228
1678130335,227
1678130336,232
1678130337,232
1678130338,231
1678130339,231
1678130340,232
1678130341,235
1678130342,227
1678130343,224
1678130344,218
1678130345,217
1678130346,220
1678130347,221
1678130348,221
1678130349,223
1678130350,223
1678130351,225
1678130352,216
1678130353,218
1678130354,220
1678130355,222
1678130356,222
1678130357,226
1678130358,237
1678130359,233
1678130360,207
1678130361,232
1678130362,232
1678130363,225
1678130364,217
1678130365,212
1678130366,214
1678130367,216
1678130368,213
1678130369,214
1678130370,209
1678130371,210
1678130372,210
1678130373,209
1678130374,210
1678130375,209
1678130376,212
1678130377,213
1678130378,210
1678130379,206
1678130380,212
1678130381,204
1678130382,195
1678130383,204
1678130384,195
1678130385,192
1678130386,192
1678130387,196
1678130388,199
1678130389,203
1678130390,206
1678130391,206
1678130392,204
1678130393,204
1678130394,206
1678130395,209
