time,FPS
1675816656,69
1675816657,70
1675816658,70
1675816659,71
1675816660,71
1675816661,72
1675816662,72
1675816663,72
1675816664,71
1675816665,72
1675816666,72
1675816667,72
1675816668,70
1675816669,71
1675816670,67
1675816671,69
1675816672,76
1675816673,78
1675816674,78
1675816675,72
1675816676,67
1675816677,71
1675816678,70
1675816679,66
1675816680,65
1675816681,65
1675816682,67
1675816683,70
1675816684,67
1675816685,65
1675816686,66
1675816687,66
1675816688,66
1675816689,67
1675816690,69
1675816691,67
1675816692,69
1675816693,71
1675816694,69
1675816695,69
1675816696,68
1675816697,70
1675816698,72
1675816699,73
1675816700,74
1675816701,74
1675816702,73
1675816703,72
1675816704,70
1675816705,67
1675816706,68
1675816707,67
1675816708,68
1675816709,65
1675816710,66
1675816711,67
1675816712,66
1675816713,67
1675816714,65
1675816715,67
1675816716,71
1675816717,70
1675816718,69
1675816719,65
1675816720,67
1675816721,66
1675816722,68
1675816723,68
1675816724,69
1675816725,69
1675816726,70
1675816727,67
1675816728,69
1675816729,69
1675816730,68
1675816731,68
1675816732,68
1675816733,68
1675816734,67
1675816735,68
1675816736,69
1675816737,68
1675816738,69
1675816739,67
1675816740,66
1675816741,64
1675816742,64
1675816743,64
1675816744,65
1675816745,66
1675816746,67
1675816747,69
1675816748,68
1675816749,64
1675816750,65
1675816751,65
1675816752,66
1675816753,67
1675816754,70
1675816755,68
1675816756,68
1675816757,68
1675816758,66
1675816759,67
1675816760,65
1675816761,64
1675816762,63
1675816763,62
1675816764,62
1675816765,61
1675816766,62
1675816767,60
1675816768,60
1675816769,60
1675816770,61
1675816771,61
1675816772,60
1675816773,60
1675816774,62
1675816775,64
1675816776,63
1675816777,63
1675816778,62
1675816779,62
1675816780,62
1675816781,62
1675816782,62
1675816783,62
1675816784,64
1675816785,66
1675816786,71
1675816787,72
1675816788,74
1675816789,73
1675816790,66
1675816791,65
1675816792,65
