time,FPS
1677122446,142
1677122447,142
1677122448,141
1677122449,140
1677122450,143
1677122451,144
1677122452,144
1677122453,143
1677122454,144
1677122455,143
1677122456,144
1677122457,143
1677122458,143
1677122459,144
1677122460,149
1677122461,154
1677122462,156
1677122463,153
1677122464,134
1677122465,138
1677122466,141
1677122467,130
1677122468,132
1677122469,133
1677122470,134
1677122471,133
1677122472,130
1677122473,124
1677122474,125
1677122475,125
1677122476,124
1677122477,127
1677122478,130
1677122479,127
1677122480,130
1677122481,133
1677122482,132
1677122483,132
1677122484,132
1677122485,138
1677122486,136
1677122487,142
1677122488,142
1677122489,144
1677122490,146
1677122491,139
1677122492,136
1677122493,130
1677122494,130
1677122495,131
1677122496,134
1677122497,129
1677122498,132
1677122499,130
1677122500,126
1677122501,133
1677122502,127
1677122503,133
1677122504,138
1677122505,136
1677122506,132
1677122507,124
1677122508,125
1677122509,127
1677122510,127
1677122511,129
1677122512,132
1677122513,130
1677122514,133
1677122515,135
1677122516,133
1677122517,133
1677122518,134
1677122519,135
1677122520,135
1677122521,133
1677122522,132
1677122523,129
1677122524,130
1677122525,132
1677122526,132
1677122527,128
1677122528,126
1677122529,125
1677122530,124
1677122531,123
1677122532,123
1677122533,123
1677122534,126
1677122535,126
1677122536,128
1677122537,129
1677122538,126
1677122539,121
1677122540,120
1677122541,122
1677122542,123
1677122543,124
1677122544,137
1677122545,134
1677122546,134
1677122547,133
1677122548,130
1677122549,129
1677122550,126
1677122551,123
1677122552,120
1677122553,121
1677122554,123
1677122555,120
1677122556,117
1677122557,118
1677122558,119
1677122559,119
1677122560,118
1677122561,117
1677122562,118
1677122563,121
1677122564,125
1677122565,125
1677122566,125
1677122567,123
1677122568,121
1677122569,121
1677122570,119
1677122571,119
1677122572,120
1677122573,121
1677122574,126
1677122575,131
1677122576,137
1677122577,139
1677122578,139
1677122579,130
1677122580,120
