time,FPS
1674691669,159
1674691670,160
1674691671,161
1674691672,159
1674691673,160
1674691674,163
1674691675,163
1674691676,163
1674691677,162
1674691678,161
1674691679,163
1674691680,162
1674691681,160
1674691682,158
1674691683,162
1674691684,168
1674691685,171
1674691686,174
1674691687,172
1674691688,155
1674691689,154
1674691690,160
1674691691,151
1674691692,146
1674691693,145
1674691694,154
1674691695,155
1674691696,152
1674691697,145
1674691698,146
1674691699,145
1674691700,145
1674691701,148
1674691702,150
1674691703,149
1674691704,154
1674691705,160
1674691706,156
1674691707,152
1674691708,152
1674691709,157
1674691710,164
1674691711,163
1674691712,161
1674691713,165
1674691714,159
1674691715,155
1674691716,154
1674691717,146
1674691718,148
1674691719,152
1674691720,151
1674691721,152
1674691722,153
1674691723,153
1674691724,154
1674691725,157
1674691726,153
1674691727,155
1674691728,161
1674691729,156
1674691730,156
1674691731,151
1674691732,151
1674691733,150
1674691734,150
1674691735,155
1674691736,155
1674691737,156
1674691738,153
1674691739,158
1674691740,163
1674691741,160
1674691742,159
1674691743,159
1674691744,161
1674691745,160
1674691746,158
1674691747,163
1674691748,162
1674691749,157
1674691750,155
1674691751,153
1674691752,150
1674691753,147
1674691754,148
1674691755,147
1674691756,149
1674691757,150
1674691758,150
1674691759,152
1674691760,152
1674691761,147
1674691762,146
1674691763,149
1674691764,149
1674691765,150
1674691766,166
1674691767,165
1674691768,161
1674691769,160
1674691770,157
1674691771,158
1674691772,157
1674691773,146
1674691774,143
1674691775,142
1674691776,147
1674691777,147
1674691778,146
1674691779,143
1674691780,143
1674691781,142
1674691782,140
1674691783,140
1674691784,139
1674691785,141
1674691786,145
1674691787,144
1674691788,141
1674691789,141
1674691790,136
1674691791,133
1674691792,134
1674691793,134
1674691794,133
1674691795,134
1674691796,135
1674691797,138
1674691798,140
1674691799,144
1674691800,146
1674691801,147
1674691802,137
1674691803,137
1674691804,143
1674691805,140
1674691806,144
1674691807,144
1674691808,144
