time,FPS
1678996170,160
1678996171,159
1678996172,160
1678996173,159
1678996174,157
1678996175,162
1678996176,162
1678996177,163
1678996178,163
1678996179,160
1678996180,165
1678996181,162
1678996182,161
1678996183,162
1678996184,163
1678996185,166
1678996186,171
1678996187,173
1678996188,159
1678996189,153
1678996190,159
1678996191,153
1678996192,148
1678996193,146
1678996194,154
1678996195,157
1678996196,156
1678996197,147
1678996198,146
1678996199,146
1678996200,147
1678996201,149
1678996202,150
1678996203,149
1678996204,150
1678996205,157
1678996206,154
1678996207,151
1678996208,149
1678996209,149
1678996210,160
1678996211,162
1678996212,159
1678996213,160
1678996214,159
1678996215,154
1678996216,150
1678996217,146
1678996218,148
1678996219,154
1678996220,152
1678996221,151
1678996222,153
1678996223,155
1678996224,154
1678996225,152
1678996226,155
1678996227,155
1678996228,159
1678996229,157
1678996230,158
1678996231,150
1678996232,147
1678996233,148
1678996234,146
1678996235,150
1678996236,153
1678996237,154
1678996238,152
1678996239,154
1678996240,158
1678996241,159
1678996242,155
1678996243,157
1678996244,156
1678996245,158
1678996246,156
1678996247,159
1678996248,154
1678996249,159
1678996250,162
1678996251,159
1678996252,155
1678996253,154
1678996254,150
1678996255,148
1678996256,147
1678996257,148
1678996258,148
1678996259,151
1678996260,151
1678996261,152
1678996262,152
1678996263,148
1678996264,147
1678996265,148
1678996266,149
1678996267,150
1678996268,157
1678996269,166
1678996270,162
1678996271,148
1678996272,155
1678996273,156
1678996274,157
1678996275,147
1678996276,144
1678996277,143
1678996278,146
1678996279,149
1678996280,147
1678996281,143
1678996282,143
1678996283,144
1678996284,141
1678996285,141
1678996286,140
1678996287,142
1678996288,145
1678996289,146
1678996290,142
1678996291,142
1678996292,137
1678996293,135
1678996294,135
1678996295,133
1678996296,124
1678996297,129
1678996298,128
1678996299,133
1678996300,136
1678996301,140
1678996302,140
1678996303,141
1678996304,134
