time,FPS
1679078305,159
1679078306,161
1679078307,160
1679078308,161
1679078309,161
1679078310,161
1679078311,163
1679078312,164
1679078313,160
1679078314,162
1679078315,163
1679078316,163
1679078317,162
1679078318,162
1679078319,165
1679078320,170
1679078321,173
1679078322,172
1679078323,165
1679078324,154
1679078325,156
1679078326,160
1679078327,151
1679078328,147
1679078329,150
1679078330,156
1679078331,157
1679078332,151
1679078333,146
1679078334,146
1679078335,145
1679078336,144
1679078337,148
1679078338,150
1679078339,150
1679078340,159
1679078341,159
1679078342,158
1679078343,152
1679078344,155
1679078345,158
1679078346,162
1679078347,160
1679078348,160
1679078349,162
1679078350,157
1679078351,153
1679078352,151
1679078353,148
1679078354,153
1679078355,154
1679078356,154
1679078357,152
1679078358,158
1679078359,156
1679078360,155
1679078361,158
1679078362,154
1679078363,158
1679078364,162
1679078365,159
1679078366,155
1679078367,151
1679078368,151
1679078369,151
1679078370,152
1679078371,157
1679078372,156
1679078373,155
1679078374,155
1679078375,164
1679078376,159
1679078377,159
1679078378,159
1679078379,159
1679078380,161
1679078381,158
1679078382,158
1679078383,162
1679078384,164
1679078385,157
1679078386,159
1679078387,153
1679078388,148
1679078389,147
1679078390,148
1679078391,147
1679078392,148
1679078393,151
1679078394,152
1679078395,151
1679078396,153
1679078397,147
1679078398,149
1679078399,150
1679078400,151
1679078401,152
1679078402,170
1679078403,162
1679078404,160
1679078405,154
1679078406,159
1679078407,157
1679078408,157
1679078409,145
1679078410,143
1679078411,145
1679078412,149
1679078413,148
1679078414,145
1679078415,143
1679078416,142
1679078417,142
1679078418,142
1679078419,141
1679078420,142
1679078421,144
1679078422,148
1679078423,145
1679078424,144
1679078425,143
1679078426,137
1679078427,136
1679078428,137
1679078429,134
1679078430,133
1679078431,134
1679078432,135
1679078433,138
1679078434,142
1679078435,143
1679078436,144
1679078437,139
1679078438,138
1679078439,137
1679078440,139
1679078441,140
