time,FPS
1675886394,160
1675886395,160
1675886396,161
1675886397,160
1675886398,157
1675886399,160
1675886400,164
1675886401,163
1675886402,163
1675886403,160
1675886404,161
1675886405,162
1675886406,160
1675886407,162
1675886408,163
1675886409,170
1675886410,172
1675886411,173
1675886412,168
1675886413,154
1675886414,157
1675886415,158
1675886416,148
1675886417,145
1675886418,147
1675886419,155
1675886420,156
1675886421,152
1675886422,147
1675886423,146
1675886424,145
1675886425,149
1675886426,150
1675886427,153
1675886428,150
1675886429,157
1675886430,159
1675886431,154
1675886432,155
1675886433,154
1675886434,162
1675886435,165
1675886436,164
1675886437,164
1675886438,165
1675886439,161
1675886440,155
1675886441,148
1675886442,146
1675886443,152
1675886444,153
1675886445,155
1675886446,153
1675886447,157
1675886448,156
1675886449,152
1675886450,155
1675886451,152
1675886452,152
1675886453,160
1675886454,158
1675886455,155
1675886456,147
1675886457,151
1675886458,150
1675886459,152
1675886460,155
1675886461,156
1675886462,154
1675886463,154
1675886464,162
1675886465,160
1675886466,158
1675886467,157
1675886468,157
1675886469,160
1675886470,159
1675886471,159
1675886472,156
1675886473,155
1675886474,158
1675886475,166
1675886476,162
1675886477,156
1675886478,153
1675886479,148
1675886480,147
1675886481,147
1675886482,149
1675886483,150
1675886484,153
1675886485,154
1675886486,150
1675886487,148
1675886488,148
1675886489,149
1675886490,147
1675886491,153
1675886492,167
1675886493,159
1675886494,159
1675886495,145
1675886496,156
1675886497,155
1675886498,152
1675886499,146
1675886500,144
1675886501,147
1675886502,149
1675886503,147
1675886504,144
1675886505,143
1675886506,144
1675886507,140
1675886508,142
1675886509,140
1675886510,142
1675886511,146
1675886512,148
1675886513,143
1675886514,144
1675886515,140
1675886516,136
1675886517,135
1675886518,138
1675886519,127
1675886520,129
1675886521,132
1675886522,136
1675886523,138
1675886524,142
1675886525,142
1675886526,145
1675886527,132
1675886528,141
1675886529,138
1675886530,136
1675886531,139
1675886532,138
