time,FPS
1675875128,47
1675875129,50
1675875130,51
1675875131,50
1675875132,52
1675875133,52
1675875134,52
1675875135,51
1675875136,52
1675875137,51
1675875138,52
1675875139,51
1675875140,51
1675875141,51
1675875142,50
1675875143,53
1675875144,54
1675875145,55
1675875146,52
1675875147,49
1675875148,51
1675875149,50
1675875150,47
1675875151,46
1675875152,48
1675875153,48
1675875154,48
1675875155,47
1675875156,45
1675875157,46
1675875158,47
1675875159,47
1675875160,48
1675875161,48
1675875162,48
1675875163,50
1675875164,50
1675875165,50
1675875166,48
1675875167,48
1675875168,49
1675875169,50
1675875170,51
1675875171,52
1675875172,51
1675875173,51
1675875174,49
1675875175,48
1675875176,45
1675875177,47
1675875178,47
1675875179,48
1675875180,48
1675875181,48
1675875182,49
1675875183,47
1675875184,49
1675875185,47
1675875186,49
1675875187,50
1675875188,49
1675875189,48
1675875190,46
1675875191,47
1675875192,45
1675875193,47
1675875194,47
1675875195,48
1675875196,48
1675875197,46
1675875198,48
1675875199,49
1675875200,49
1675875201,48
1675875202,49
1675875203,48
1675875204,49
1675875205,48
1675875206,47
1675875207,47
1675875208,48
1675875209,48
1675875210,48
1675875211,46
1675875212,45
1675875213,44
1675875214,45
1675875215,44
1675875216,45
1675875217,45
1675875218,46
1675875219,46
1675875220,46
1675875221,46
1675875222,45
1675875223,45
1675875224,45
1675875225,45
1675875226,47
1675875227,51
1675875228,49
1675875229,49
1675875230,49
1675875231,48
1675875232,48
1675875233,47
1675875234,44
1675875235,44
1675875236,43
1675875237,45
1675875238,44
1675875239,44
1675875240,42
1675875241,43
1675875242,43
1675875243,41
1675875244,43
1675875245,43
1675875246,43
1675875247,46
1675875248,45
1675875249,44
1675875250,44
1675875251,41
1675875252,41
1675875253,42
1675875254,41
1675875255,41
1675875256,42
1675875257,42
1675875258,44
1675875259,44
