time,FPS
1680038492,203
1680038493,202
1680038494,194
1680038495,197
1680038496,204
1680038497,207
1680038498,204
1680038499,206
1680038500,204
1680038501,203
1680038502,206
1680038503,205
1680038504,201
1680038505,205
1680038506,209
1680038507,211
1680038508,211
1680038509,212
1680038510,197
1680038511,190
1680038512,195
1680038513,195
1680038514,190
1680038515,186
1680038516,193
1680038517,196
1680038518,195
1680038519,185
1680038520,182
1680038521,181
1680038522,184
1680038523,176
1680038524,186
1680038525,189
1680038526,186
1680038527,196
1680038528,199
1680038529,198
1680038530,193
1680038531,191
1680038532,202
1680038533,207
1680038534,197
1680038535,207
1680038536,207
1680038537,206
1680038538,200
1680038539,197
1680038540,187
1680038541,189
1680038542,192
1680038543,187
1680038544,190
1680038545,192
1680038546,196
1680038547,194
1680038548,198
1680038549,191
1680038550,190
1680038551,200
1680038552,199
1680038553,195
1680038554,188
1680038555,185
1680038556,190
1680038557,191
1680038558,195
1680038559,195
1680038560,196
1680038561,190
1680038562,202
1680038563,197
1680038564,198
1680038565,199
1680038566,196
1680038567,197
1680038568,195
1680038569,200
1680038570,197
1680038571,201
1680038572,201
1680038573,196
1680038574,191
1680038575,186
1680038576,184
1680038577,183
1680038578,187
1680038579,189
1680038580,189
1680038581,187
1680038582,188
1680038583,181
1680038584,182
1680038585,184
1680038586,182
1680038587,187
1680038588,208
1680038589,200
1680038590,206
1680038591,202
1680038592,199
1680038593,197
1680038594,186
1680038595,180
1680038596,179
1680038597,183
1680038598,183
1680038599,180
1680038600,174
1680038601,177
1680038602,177
1680038603,175
1680038604,174
1680038605,173
1680038606,177
1680038607,181
1680038608,184
1680038609,174
1680038610,180
1680038611,174
1680038612,174
1680038613,173
1680038614,173
1680038615,172
1680038616,172
1680038617,175
1680038618,178
1680038619,182
1680038620,187
1680038621,189
1680038622,186
1680038623,174
1680038624,178
1680038625,179
1680038626,175
