time,FPS
1675970990,150
1675970991,158
1675970992,158
1675970993,159
1675970994,159
1675970995,162
1675970996,160
1675970997,163
1675970998,161
1675970999,165
1675971000,163
1675971001,161
1675971002,159
1675971003,162
1675971004,162
1675971005,168
1675971006,166
1675971007,167
1675971008,160
1675971009,143
1675971010,135
1675971011,138
1675971012,136
1675971013,126
1675971014,131
1675971015,136
1675971016,142
1675971017,144
1675971018,141
1675971019,144
1675971020,146
1675971021,143
1675971022,144
1675971023,145
1675971024,149
1675971025,153
1675971026,155
1675971027,158
1675971028,154
1675971029,153
1675971030,156
1675971031,164
1675971032,164
1675971033,159
1675971034,163
1675971035,162
1675971036,156
1675971037,154
1675971038,147
1675971039,149
1675971040,154
1675971041,148
1675971042,148
1675971043,150
1675971044,152
1675971045,153
1675971046,150
1675971047,152
1675971048,153
1675971049,152
1675971050,158
1675971051,158
1675971052,149
1675971053,150
1675971054,147
1675971055,148
1675971056,151
1675971057,154
1675971058,154
1675971059,152
1675971060,158
1675971061,158
1675971062,157
1675971063,155
1675971064,158
1675971065,157
1675971066,152
1675971067,158
1675971068,159
1675971069,162
1675971070,163
1675971071,162
1675971072,161
1675971073,158
1675971074,153
1675971075,148
1675971076,150
1675971077,150
1675971078,152
1675971079,151
1675971080,149
1675971081,146
1675971082,148
1675971083,149
1675971084,149
1675971085,149
1675971086,156
1675971087,165
1675971088,162
1675971089,154
1675971090,161
1675971091,154
1675971092,151
1675971093,144
1675971094,143
1675971095,145
1675971096,149
1675971097,147
1675971098,145
1675971099,144
1675971100,143
1675971101,143
1675971102,141
1675971103,140
1675971104,142
1675971105,144
1675971106,146
1675971107,141
1675971108,142
1675971109,139
1675971110,135
1675971111,133
1675971112,135
1675971113,131
1675971114,130
1675971115,130
1675971116,132
1675971117,139
1675971118,142
1675971119,143
1675971120,145
1675971121,135
1675971122,141
