time,FPS
1677026894,201
1677026895,203
1677026896,202
1677026897,202
1677026898,206
1677026899,204
1677026900,205
1677026901,203
1677026902,204
1677026903,204
1677026904,203
1677026905,205
1677026906,205
1677026907,208
1677026908,212
1677026909,218
1677026910,220
1677026911,203
1677026912,193
1677026913,196
1677026914,190
1677026915,180
1677026916,184
1677026917,187
1677026918,191
1677026919,194
1677026920,185
1677026921,184
1677026922,182
1677026923,184
1677026924,184
1677026925,186
1677026926,191
1677026927,186
1677026928,198
1677026929,197
1677026930,197
1677026931,188
1677026932,193
1677026933,204
1677026934,199
1677026935,210
1677026936,204
1677026937,208
1677026938,204
1677026939,198
1677026940,187
1677026941,185
1677026942,190
1677026943,189
1677026944,192
1677026945,189
1677026946,188
1677026947,194
1677026948,191
1677026949,196
1677026950,193
1677026951,198
1677026952,200
1677026953,200
1677026954,191
1677026955,186
1677026956,188
1677026957,188
1677026958,190
1677026959,193
1677026960,193
1677026961,193
1677026962,189
1677026963,202
1677026964,198
1677026965,197
1677026966,194
1677026967,200
1677026968,199
1677026969,198
1677026970,203
1677026971,202
1677026972,208
1677026973,196
1677026974,193
1677026975,183
1677026976,181
1677026977,182
1677026978,182
1677026979,185
1677026980,181
1677026981,188
1677026982,186
1677026983,182
1677026984,180
1677026985,181
1677026986,183
1677026987,183
1677026988,186
1677026989,201
1677026990,203
1677026991,204
1677026992,198
1677026993,204
1677026994,200
1677026995,187
1677026996,179
1677026997,179
1677026998,180
1677026999,181
1677027000,176
1677027001,173
1677027002,173
1677027003,174
1677027004,172
1677027005,173
1677027006,168
1677027007,173
1677027008,176
1677027009,179
1677027010,174
1677027011,177
1677027012,175
1677027013,171
1677027014,171
1677027015,172
1677027016,165
1677027017,166
1677027018,168
1677027019,169
1677027020,176
1677027021,179
1677027022,183
1677027023,186
1677027024,170
1677027025,175
1677027026,174
1677027027,174
1677027028,175
