time,FPS
1680631598,44
1680631599,44
1680631600,45
1680631601,44
1680631602,45
1680631603,45
1680631604,45
1680631605,45
1680631606,44
1680631607,45
1680631608,44
1680631609,45
1680631610,45
1680631611,45
1680631612,44
1680631613,47
1680631614,48
1680631615,49
1680631616,46
1680631617,43
1680631618,46
1680631619,45
1680631620,45
1680631621,45
1680631622,46
1680631623,45
1680631624,45
1680631625,43
1680631626,42
1680631627,41
1680631628,42
1680631629,42
1680631630,44
1680631631,44
1680631632,43
1680631633,44
1680631634,45
1680631635,44
1680631636,45
1680631637,44
1680631638,46
1680631639,46
1680631640,47
1680631641,47
1680631642,48
1680631643,48
1680631644,46
1680631645,47
1680631646,44
1680631647,44
1680631648,43
1680631649,45
1680631650,42
1680631651,44
1680631652,43
1680631653,43
1680631654,43
1680631655,44
1680631656,44
1680631657,46
1680631658,45
1680631659,44
1680631660,42
1680631661,42
1680631662,43
1680631663,44
1680631664,44
1680631665,44
1680631666,44
1680631667,43
1680631668,44
1680631669,43
1680631670,44
1680631671,43
1680631672,43
1680631673,44
1680631674,43
1680631675,42
1680631676,41
1680631677,41
1680631678,41
1680631679,41
1680631680,44
1680631681,44
1680631682,43
1680631683,41
1680631684,42
1680631685,40
1680631686,41
1680631687,42
1680631688,41
1680631689,42
1680631690,42
1680631691,42
1680631692,41
1680631693,41
1680631694,40
1680631695,41
1680631696,42
1680631697,43
1680631698,44
1680631699,42
1680631700,44
1680631701,43
1680631702,43
1680631703,43
1680631704,41
1680631705,42
1680631706,41
1680631707,40
1680631708,40
1680631709,40
1680631710,39
1680631711,38
1680631712,39
1680631713,38
1680631714,38
1680631715,37
1680631716,37
1680631717,38
1680631718,39
1680631719,41
1680631720,39
1680631721,40
1680631722,38
1680631723,39
1680631724,38
1680631725,39
1680631726,38
1680631727,39
1680631728,40
1680631729,41
1680631730,44
1680631731,45
1680631732,45
