time,FPS
1680564364,92
1680564365,93
1680564366,92
1680564367,93
1680564368,94
1680564369,93
1680564370,92
1680564371,92
1680564372,93
1680564373,92
1680564374,93
1680564375,91
1680564376,93
1680564377,93
1680564378,96
1680564379,99
1680564380,99
1680564381,100
1680564382,89
1680564383,86
1680564384,89
1680564385,87
1680564386,86
1680564387,84
1680564388,87
1680564389,89
1680564390,88
1680564391,87
1680564392,87
1680564393,86
1680564394,87
1680564395,87
1680564396,90
1680564397,92
1680564398,88
1680564399,91
1680564400,91
1680564401,91
1680564402,91
1680564403,92
1680564404,94
1680564405,97
1680564406,99
1680564407,100
1680564408,97
1680564409,97
1680564410,97
1680564411,94
1680564412,91
1680564413,91
1680564414,87
1680564415,90
1680564416,86
1680564417,88
1680564418,87
1680564419,85
1680564420,85
1680564421,85
1680564422,87
1680564423,93
1680564424,94
1680564425,90
1680564426,88
1680564427,92
1680564428,91
1680564429,92
1680564430,92
1680564431,94
1680564432,95
1680564433,95
1680564434,91
1680564435,86
1680564436,87
1680564437,87
1680564438,85
1680564439,85
1680564440,86
1680564441,85
1680564442,87
1680564443,89
1680564444,91
1680564445,88
1680564446,87
1680564447,89
1680564448,88
1680564449,88
1680564450,90
1680564451,90
1680564452,92
1680564453,92
1680564454,91
1680564455,87
1680564456,87
1680564457,88
1680564458,89
1680564459,90
1680564460,92
1680564461,89
1680564462,87
1680564463,86
1680564464,86
1680564465,86
1680564466,84
1680564467,84
1680564468,84
1680564469,84
1680564470,84
1680564471,84
1680564472,83
1680564473,83
1680564474,83
1680564475,81
1680564476,82
1680564477,83
1680564478,80
1680564479,80
1680564480,80
1680564481,80
1680564482,82
1680564483,82
1680564484,83
1680564485,81
1680564486,81
1680564487,82
1680564488,82
1680564489,82
1680564490,83
1680564491,84
1680564492,86
1680564493,89
1680564494,95
1680564495,98
1680564496,98
1680564497,89
1680564498,84
1680564499,84
1680564500,85
1680564501,85
1680564502,84
1680564503,85
