time,FPS
1678830726,156
1678830727,157
1678830728,155
1678830729,157
1678830730,157
1678830731,159
1678830732,161
1678830733,159
1678830734,161
1678830735,162
1678830736,159
1678830737,158
1678830738,158
1678830739,158
1678830740,163
1678830741,164
1678830742,170
1678830743,168
1678830744,161
1678830745,151
1678830746,153
1678830747,154
1678830748,146
1678830749,141
1678830750,148
1678830751,151
1678830752,152
1678830753,146
1678830754,144
1678830755,142
1678830756,143
1678830757,144
1678830758,144
1678830759,147
1678830760,145
1678830761,153
1678830762,155
1678830763,154
1678830764,151
1678830765,151
1678830766,156
1678830767,161
1678830768,161
1678830769,160
1678830770,162
1678830771,158
1678830772,150
1678830773,149
1678830774,145
1678830775,147
1678830776,150
1678830777,149
1678830778,147
1678830779,150
1678830780,152
1678830781,150
1678830782,153
1678830783,149
1678830784,152
1678830785,157
1678830786,155
1678830787,150
1678830788,146
1678830789,148
1678830790,145
1678830791,144
1678830792,151
1678830793,149
1678830794,150
1678830795,149
1678830796,154
1678830797,153
1678830798,151
1678830799,152
1678830800,153
1678830801,152
1678830802,152
1678830803,153
1678830804,157
1678830805,157
1678830806,156
1678830807,150
1678830808,152
1678830809,150
1678830810,147
1678830811,145
1678830812,145
1678830813,145
1678830814,146
1678830815,149
1678830816,149
1678830817,150
1678830818,145
1678830819,143
1678830820,144
1678830821,145
1678830822,146
1678830823,158
1678830824,160
1678830825,155
1678830826,151
1678830827,156
1678830828,151
1678830829,151
1678830830,143
1678830831,139
1678830832,139
1678830833,141
1678830834,142
1678830835,143
1678830836,139
1678830837,139
1678830838,139
1678830839,138
1678830840,138
1678830841,137
1678830842,139
1678830843,141
1678830844,141
1678830845,136
1678830846,138
1678830847,134
1678830848,131
1678830849,132
1678830850,128
1678830851,123
1678830852,123
1678830853,124
1678830854,129
1678830855,129
1678830856,134
1678830857,134
1678830858,138
1678830859,132
1678830860,134
