time,FPS
1676069051,156
1676069052,160
1676069053,160
1676069054,155
1676069055,160
1676069056,163
1676069057,163
1676069058,162
1676069059,163
1676069060,162
1676069061,164
1676069062,163
1676069063,161
1676069064,158
1676069065,167
1676069066,169
1676069067,173
1676069068,172
1676069069,164
1676069070,152
1676069071,158
1676069072,156
1676069073,150
1676069074,145
1676069075,152
1676069076,157
1676069077,157
1676069078,149
1676069079,146
1676069080,145
1676069081,145
1676069082,148
1676069083,146
1676069084,151
1676069085,148
1676069086,157
1676069087,159
1676069088,152
1676069089,152
1676069090,152
1676069091,158
1676069092,164
1676069093,163
1676069094,164
1676069095,161
1676069096,159
1676069097,154
1676069098,152
1676069099,147
1676069100,151
1676069101,153
1676069102,152
1676069103,152
1676069104,154
1676069105,155
1676069106,150
1676069107,153
1676069108,153
1676069109,155
1676069110,160
1676069111,158
1676069112,154
1676069113,150
1676069114,152
1676069115,148
1676069116,150
1676069117,155
1676069118,154
1676069119,155
1676069120,152
1676069121,163
1676069122,159
1676069123,158
1676069124,158
1676069125,158
1676069126,159
1676069127,160
1676069128,158
1676069129,156
1676069130,156
1676069131,156
1676069132,161
1676069133,156
1676069134,150
1676069135,146
1676069136,147
1676069137,147
1676069138,147
1676069139,149
1676069140,151
1676069141,151
1676069142,151
1676069143,154
1676069144,147
1676069145,146
1676069146,137
1676069147,110
1676069148,149
1676069149,159
1676069150,165
1676069151,158
1676069152,155
1676069153,157
1676069154,156
1676069155,155
1676069156,152
1676069157,144
1676069158,142
1676069159,145
1676069160,147
1676069161,146
1676069162,142
1676069163,142
1676069164,140
1676069165,140
1676069166,141
1676069167,138
1676069168,140
1676069169,143
1676069170,145
1676069171,141
1676069172,142
1676069173,141
1676069174,134
1676069175,134
1676069176,135
1676069177,125
1676069178,126
1676069179,126
1676069180,128
1676069181,137
1676069182,136
1676069183,141
1676069184,143
1676069185,132
