time,FPS
1676418051,159
1676418052,161
1676418053,160
1676418054,160
1676418055,162
1676418056,163
1676418057,158
1676418058,163
1676418059,163
1676418060,162
1676418061,161
1676418062,159
1676418063,160
1676418064,162
1676418065,167
1676418066,170
1676418067,175
1676418068,175
1676418069,159
1676418070,151
1676418071,160
1676418072,153
1676418073,147
1676418074,146
1676418075,150
1676418076,154
1676418077,154
1676418078,146
1676418079,145
1676418080,147
1676418081,148
1676418082,149
1676418083,148
1676418084,151
1676418085,151
1676418086,158
1676418087,157
1676418088,153
1676418089,152
1676418090,151
1676418091,163
1676418092,165
1676418093,161
1676418094,165
1676418095,163
1676418096,155
1676418097,153
1676418098,148
1676418099,146
1676418100,151
1676418101,149
1676418102,150
1676418103,153
1676418104,152
1676418105,154
1676418106,155
1676418107,155
1676418108,156
1676418109,161
1676418110,157
1676418111,158
1676418112,149
1676418113,149
1676418114,147
1676418115,148
1676418116,151
1676418117,155
1676418118,156
1676418119,153
1676418120,156
1676418121,163
1676418122,160
1676418123,157
1676418124,157
1676418125,159
1676418126,159
1676418127,158
1676418128,160
1676418129,162
1676418130,160
1676418131,167
1676418132,157
1676418133,152
1676418134,147
1676418135,142
1676418136,144
1676418137,145
1676418138,146
1676418139,148
1676418140,150
1676418141,150
1676418142,143
1676418143,145
1676418144,147
1676418145,148
1676418146,147
1676418147,155
1676418148,166
1676418149,160
1676418150,159
1676418151,160
1676418152,158
1676418153,157
1676418154,151
1676418155,144
1676418156,142
1676418157,144
1676418158,147
1676418159,146
1676418160,143
1676418161,142
1676418162,141
1676418163,141
1676418164,138
1676418165,138
1676418166,138
1676418167,142
1676418168,145
1676418169,139
1676418170,141
1676418171,137
1676418172,133
1676418173,132
1676418174,134
1676418175,127
1676418176,128
1676418177,130
1676418178,131
1676418179,136
1676418180,139
1676418181,143
1676418182,145
1676418183,136
1676418184,141
1676418185,141
1676418186,141
1676418187,142
1676418188,141
1676418189,142
1676418190,142
