time,FPS
1677008506,160
1677008507,159
1677008508,159
1677008509,160
1677008510,162
1677008511,162
1677008512,159
1677008513,163
1677008514,159
1677008515,162
1677008516,163
1677008517,160
1677008518,158
1677008519,160
1677008520,165
1677008521,167
1677008522,172
1677008523,175
1677008524,163
1677008525,152
1677008526,158
1677008527,156
1677008528,148
1677008529,142
1677008530,150
1677008531,155
1677008532,156
1677008533,146
1677008534,144
1677008535,147
1677008536,147
1677008537,149
1677008538,148
1677008539,151
1677008540,149
1677008541,159
1677008542,159
1677008543,154
1677008544,154
1677008545,154
1677008546,159
1677008547,161
1677008548,161
1677008549,158
1677008550,164
1677008551,157
1677008552,154
1677008553,150
1677008554,147
1677008555,152
1677008556,150
1677008557,154
1677008558,152
1677008559,155
1677008560,156
1677008561,151
1677008562,155
1677008563,154
1677008564,158
1677008565,158
1677008566,157
1677008567,154
1677008568,148
1677008569,149
1677008570,148
1677008571,151
1677008572,153
1677008573,155
1677008574,153
1677008575,153
1677008576,163
1677008577,161
1677008578,158
1677008579,158
1677008580,158
1677008581,157
1677008582,159
1677008583,160
1677008584,163
1677008585,170
1677008586,163
1677008587,157
1677008588,153
1677008589,148
1677008590,145
1677008591,145
1677008592,148
1677008593,149
1677008594,150
1677008595,150
1677008596,147
1677008597,145
1677008598,147
1677008599,148
1677008600,148
1677008601,153
1677008602,168
1677008603,159
1677008604,157
1677008605,159
1677008606,159
1677008607,156
1677008608,148
1677008609,143
1677008610,140
1677008611,144
1677008612,147
1677008613,146
1677008614,140
1677008615,142
1677008616,141
1677008617,138
1677008618,139
1677008619,139
1677008620,140
1677008621,143
1677008622,146
1677008623,140
1677008624,142
1677008625,138
1677008626,133
1677008627,133
1677008628,133
1677008629,128
1677008630,128
1677008631,130
1677008632,131
1677008633,138
1677008634,143
1677008635,144
1677008636,144
1677008637,137
1677008638,139
1677008639,143
1677008640,142
1677008641,143
1677008642,142
1677008643,143
