time,FPS
1676054823,160
1676054824,160
1676054825,161
1676054826,160
1676054827,161
1676054828,163
1676054829,164
1676054830,163
1676054831,161
1676054832,164
1676054833,160
1676054834,163
1676054835,161
1676054836,162
1676054837,167
1676054838,169
1676054839,171
1676054840,177
1676054841,167
1676054842,154
1676054843,159
1676054844,159
1676054845,149
1676054846,144
1676054847,146
1676054848,152
1676054849,156
1676054850,149
1676054851,144
1676054852,146
1676054853,147
1676054854,149
1676054855,148
1676054856,151
1676054857,150
1676054858,160
1676054859,159
1676054860,158
1676054861,150
1676054862,154
1676054863,162
1676054864,163
1676054865,165
1676054866,159
1676054867,166
1676054868,157
1676054869,157
1676054870,151
1676054871,148
1676054872,152
1676054873,151
1676054874,154
1676054875,154
1676054876,152
1676054877,157
1676054878,153
1676054879,152
1676054880,155
1676054881,160
1676054882,161
1676054883,158
1676054884,156
1676054885,149
1676054886,150
1676054887,148
1676054888,152
1676054889,156
1676054890,156
1676054891,156
1676054892,154
1676054893,163
1676054894,160
1676054895,156
1676054896,154
1676054897,157
1676054898,159
1676054899,159
1676054900,160
1676054901,158
1676054902,157
1676054903,162
1676054904,161
1676054905,152
1676054906,149
1676054907,148
1676054908,147
1676054909,146
1676054910,145
1676054911,146
1676054912,147
1676054913,147
1676054914,150
1676054915,152
1676054916,152
1676054917,146
1676054918,147
1676054919,149
1676054920,148
1676054921,151
1676054922,169
1676054923,164
1676054924,162
1676054925,162
1676054926,160
1676054927,157
1676054928,156
1676054929,143
1676054930,142
1676054931,144
1676054932,148
1676054933,147
1676054934,144
1676054935,143
1676054936,143
1676054937,141
1676054938,141
1676054939,139
1676054940,140
1676054941,143
1676054942,147
1676054943,142
1676054944,142
1676054945,140
1676054946,134
1676054947,133
1676054948,135
1676054949,128
1676054950,129
1676054951,131
1676054952,131
1676054953,137
1676054954,139
1676054955,145
1676054956,147
1676054957,140
1676054958,140
1676054959,143
1676054960,146
