time,FPS
1677008921,160
1677008922,161
1677008923,160
1677008924,156
1677008925,160
1677008926,161
1677008927,163
1677008928,160
1677008929,161
1677008930,162
1677008931,161
1677008932,161
1677008933,159
1677008934,161
1677008935,165
1677008936,169
1677008937,172
1677008938,175
1677008939,156
1677008940,151
1677008941,162
1677008942,152
1677008943,147
1677008944,148
1677008945,152
1677008946,153
1677008947,153
1677008948,144
1677008949,146
1677008950,148
1677008951,147
1677008952,149
1677008953,149
1677008954,149
1677008955,151
1677008956,160
1677008957,157
1677008958,152
1677008959,154
1677008960,157
1677008961,165
1677008962,165
1677008963,160
1677008964,165
1677008965,162
1677008966,157
1677008967,150
1677008968,147
1677008969,149
1677008970,152
1677008971,151
1677008972,151
1677008973,152
1677008974,156
1677008975,155
1677008976,157
1677008977,155
1677008978,155
1677008979,161
1677008980,158
1677008981,155
1677008982,151
1677008983,149
1677008984,149
1677008985,148
1677008986,153
1677008987,153
1677008988,153
1677008989,151
1677008990,156
1677008991,159
1677008992,156
1677008993,156
1677008994,157
1677008995,158
1677008996,157
1677008997,158
1677008998,159
1677008999,161
1677009000,162
1677009001,160
1677009002,157
1677009003,154
1677009004,152
1677009005,147
1677009006,145
1677009007,149
1677009008,148
1677009009,150
1677009010,149
1677009011,144
1677009012,143
1677009013,145
1677009014,144
1677009015,145
1677009016,160
1677009017,163
1677009018,160
1677009019,160
1677009020,159
1677009021,158
1677009022,157
1677009023,143
1677009024,142
1677009025,139
1677009026,144
1677009027,146
1677009028,146
1677009029,142
1677009030,142
1677009031,141
1677009032,141
1677009033,139
1677009034,138
1677009035,142
1677009036,145
1677009037,145
1677009038,142
1677009039,143
1677009040,137
1677009041,134
1677009042,135
1677009043,133
1677009044,133
1677009045,133
1677009046,136
1677009047,137
1677009048,140
1677009049,145
1677009050,146
1677009051,145
1677009052,138
1677009053,141
1677009054,143
1677009055,143
1677009056,143
1677009057,142
1677009058,143
