time,FPS
1675725773,160
1675725774,160
1675725775,159
1675725776,157
1675725777,160
1675725778,161
1675725779,161
1675725780,162
1675725781,163
1675725782,159
1675725783,163
1675725784,161
1675725785,161
1675725786,159
1675725787,163
1675725788,168
1675725789,172
1675725790,174
1675725791,168
1675725792,154
1675725793,157
1675725794,161
1675725795,150
1675725796,146
1675725797,148
1675725798,150
1675725799,156
1675725800,147
1675725801,145
1675725802,146
1675725803,144
1675725804,148
1675725805,148
1675725806,150
1675725807,151
1675725808,159
1675725809,159
1675725810,153
1675725811,153
1675725812,152
1675725813,161
1675725814,165
1675725815,165
1675725816,162
1675725817,164
1675725818,156
1675725819,155
1675725820,148
1675725821,146
1675725822,152
1675725823,151
1675725824,153
1675725825,150
1675725826,155
1675725827,156
1675725828,152
1675725829,153
1675725830,155
1675725831,158
1675725832,161
1675725833,160
1675725834,154
1675725835,150
1675725836,151
1675725837,151
1675725838,153
1675725839,156
1675725840,154
1675725841,153
1675725842,154
1675725843,163
1675725844,161
1675725845,159
1675725846,159
1675725847,161
1675725848,158
1675725849,161
1675725850,158
1675725851,155
1675725852,157
1675725853,158
1675725854,164
1675725855,153
1675725856,150
1675725857,145
1675725858,143
1675725859,144
1675725860,145
1675725861,146
1675725862,147
1675725863,149
1675725864,148
1675725865,146
1675725866,145
1675725867,144
1675725868,148
1675725869,145
1675725870,148
1675725871,170
1675725872,158
1675725873,162
1675725874,157
1675725875,160
1675725876,156
1675725877,155
1675725878,145
1675725879,142
1675725880,144
1675725881,147
1675725882,147
1675725883,145
1675725884,143
1675725885,143
1675725886,141
1675725887,141
1675725888,139
1675725889,139
1675725890,140
1675725891,146
1675725892,142
1675725893,141
1675725894,141
1675725895,134
1675725896,133
1675725897,134
1675725898,133
1675725899,134
1675725900,134
1675725901,137
1675725902,138
1675725903,142
1675725904,145
1675725905,147
1675725906,143
1675725907,139
1675725908,141
1675725909,145
