time,FPS
1680200627,202
1680200628,201
1680200629,201
1680200630,204
1680200631,202
1680200632,202
1680200633,203
1680200634,204
1680200635,205
1680200636,202
1680200637,205
1680200638,202
1680200639,204
1680200640,208
1680200641,211
1680200642,214
1680200643,209
1680200644,194
1680200645,187
1680200646,188
1680200647,183
1680200648,181
1680200649,183
1680200650,181
1680200651,177
1680200652,184
1680200653,182
1680200654,182
1680200655,181
1680200656,180
1680200657,185
1680200658,184
1680200659,188
1680200660,186
1680200661,196
1680200662,197
1680200663,196
1680200664,194
1680200665,196
1680200666,202
1680200667,204
1680200668,196
1680200669,208
1680200670,205
1680200671,201
1680200672,199
1680200673,194
1680200674,186
1680200675,190
1680200676,191
1680200677,193
1680200678,188
1680200679,190
1680200680,186
1680200681,194
1680200682,196
1680200683,191
1680200684,195
1680200685,194
1680200686,195
1680200687,192
1680200688,184
1680200689,188
1680200690,189
1680200691,189
1680200692,195
1680200693,194
1680200694,194
1680200695,186
1680200696,203
1680200697,197
1680200698,198
1680200699,198
1680200700,198
1680200701,198
1680200702,198
1680200703,198
1680200704,204
1680200705,199
1680200706,203
1680200707,196
1680200708,194
1680200709,187
1680200710,180
1680200711,185
1680200712,186
1680200713,187
1680200714,188
1680200715,190
1680200716,187
1680200717,179
1680200718,182
1680200719,182
1680200720,185
1680200721,187
1680200722,200
1680200723,193
1680200724,201
1680200725,205
1680200726,203
1680200727,201
1680200728,194
1680200729,185
1680200730,182
1680200731,179
1680200732,181
1680200733,184
1680200734,178
1680200735,172
1680200736,178
1680200737,177
1680200738,172
1680200739,176
1680200740,174
1680200741,176
1680200742,180
1680200743,182
1680200744,177
1680200745,178
1680200746,174
1680200747,174
1680200748,172
1680200749,175
1680200750,170
1680200751,172
1680200752,169
1680200753,174
1680200754,176
1680200755,184
1680200756,185
1680200757,183
1680200758,172
1680200759,175
1680200760,180
1680200761,175
