time,FPS
1675202800,159
1675202801,157
1675202802,160
1675202803,158
1675202804,160
1675202805,160
1675202806,162
1675202807,162
1675202808,163
1675202809,161
1675202810,160
1675202811,162
1675202812,159
1675202813,162
1675202814,166
1675202815,166
1675202816,166
1675202817,162
1675202818,152
1675202819,136
1675202820,134
1675202821,138
1675202822,138
1675202823,132
1675202824,133
1675202825,135
1675202826,140
1675202827,142
1675202828,138
1675202829,140
1675202830,144
1675202831,141
1675202832,142
1675202833,141
1675202834,146
1675202835,146
1675202836,151
1675202837,155
1675202838,153
1675202839,151
1675202840,154
1675202841,163
1675202842,162
1675202843,162
1675202844,163
1675202845,161
1675202846,157
1675202847,154
1675202848,146
1675202849,147
1675202850,153
1675202851,148
1675202852,149
1675202853,146
1675202854,150
1675202855,151
1675202856,149
1675202857,150
1675202858,150
1675202859,149
1675202860,156
1675202861,157
1675202862,148
1675202863,150
1675202864,148
1675202865,149
1675202866,150
1675202867,152
1675202868,154
1675202869,152
1675202870,155
1675202871,160
1675202872,158
1675202873,158
1675202874,153
1675202875,158
1675202876,155
1675202877,154
1675202878,159
1675202879,161
1675202880,163
1675202881,162
1675202882,156
1675202883,157
1675202884,154
1675202885,150
1675202886,145
1675202887,147
1675202888,148
1675202889,150
1675202890,149
1675202891,142
1675202892,142
1675202893,144
1675202894,145
1675202895,147
1675202896,145
1675202897,158
1675202898,160
1675202899,154
1675202900,161
1675202901,158
1675202902,156
1675202903,145
1675202904,142
1675202905,140
1675202906,146
1675202907,148
1675202908,147
1675202909,143
1675202910,142
1675202911,143
1675202912,141
1675202913,140
1675202914,140
1675202915,142
1675202916,142
1675202917,146
1675202918,138
1675202919,142
1675202920,137
1675202921,134
1675202922,134
1675202923,132
1675202924,129
1675202925,129
1675202926,125
1675202927,132
1675202928,133
1675202929,137
1675202930,138
