time,FPS
1675734121,154
1675734122,160
1675734123,160
1675734124,160
1675734125,160
1675734126,163
1675734127,163
1675734128,160
1675734129,162
1675734130,163
1675734131,161
1675734132,166
1675734133,162
1675734134,164
1675734135,161
1675734136,165
1675734137,168
1675734138,173
1675734139,171
1675734140,157
1675734141,155
1675734142,161
1675734143,150
1675734144,147
1675734145,148
1675734146,155
1675734147,157
1675734148,153
1675734149,147
1675734150,147
1675734151,148
1675734152,146
1675734153,147
1675734154,150
1675734155,151
1675734156,153
1675734157,159
1675734158,158
1675734159,154
1675734160,149
1675734161,156
1675734162,164
1675734163,166
1675734164,163
1675734165,164
1675734166,163
1675734167,152
1675734168,152
1675734169,149
1675734170,149
1675734171,154
1675734172,151
1675734173,153
1675734174,153
1675734175,158
1675734176,156
1675734177,154
1675734178,156
1675734179,157
1675734180,162
1675734181,158
1675734182,160
1675734183,151
1675734184,148
1675734185,149
1675734186,147
1675734187,153
1675734188,155
1675734189,154
1675734190,152
1675734191,156
1675734192,161
1675734193,156
1675734194,158
1675734195,158
1675734196,158
1675734197,157
1675734198,157
1675734199,159
1675734200,158
1675734201,160
1675734202,155
1675734203,154
1675734204,149
1675734205,145
1675734206,146
1675734207,147
1675734208,148
1675734209,149
1675734210,150
1675734211,150
1675734212,144
1675734213,144
1675734214,145
1675734215,147
1675734216,149
1675734217,160
1675734218,163
1675734219,161
1675734220,154
1675734221,159
1675734222,156
1675734223,158
1675734224,146
1675734225,142
1675734226,143
1675734227,146
1675734228,147
1675734229,147
1675734230,144
1675734231,144
1675734232,143
1675734233,141
1675734234,142
1675734235,142
1675734236,143
1675734237,147
1675734238,147
1675734239,143
1675734240,144
1675734241,138
1675734242,135
1675734243,134
1675734244,132
1675734245,125
1675734246,127
1675734247,127
1675734248,134
1675734249,134
1675734250,142
1675734251,142
1675734252,141
1675734253,135
1675734254,142
