time,FPS
1679344737,157
1679344738,161
1679344739,160
1679344740,161
1679344741,162
1679344742,162
1679344743,164
1679344744,164
1679344745,161
1679344746,166
1679344747,165
1679344748,161
1679344749,161
1679344750,164
1679344751,168
1679344752,170
1679344753,174
1679344754,173
1679344755,157
1679344756,152
1679344757,161
1679344758,153
1679344759,147
1679344760,145
1679344761,153
1679344762,156
1679344763,154
1679344764,147
1679344765,148
1679344766,148
1679344767,148
1679344768,149
1679344769,150
1679344770,151
1679344771,152
1679344772,154
1679344773,158
1679344774,153
1679344775,152
1679344776,156
1679344777,164
1679344778,165
1679344779,165
1679344780,165
1679344781,163
1679344782,156
1679344783,153
1679344784,148
1679344785,148
1679344786,154
1679344787,153
1679344788,153
1679344789,154
1679344790,158
1679344791,153
1679344792,155
1679344793,156
1679344794,156
1679344795,162
1679344796,158
1679344797,158
1679344798,149
1679344799,150
1679344800,150
1679344801,150
1679344802,153
1679344803,155
1679344804,156
1679344805,154
1679344806,156
1679344807,162
1679344808,160
1679344809,157
1679344810,157
1679344811,156
1679344812,159
1679344813,159
1679344814,155
1679344815,154
1679344816,163
1679344817,163
1679344818,151
1679344819,154
1679344820,149
1679344821,148
1679344822,149
1679344823,148
1679344824,147
1679344825,149
1679344826,150
1679344827,152
1679344828,152
1679344829,153
1679344830,146
1679344831,149
1679344832,151
1679344833,151
1679344834,151
1679344835,167
1679344836,162
1679344837,159
1679344838,150
1679344839,159
1679344840,155
1679344841,154
1679344842,146
1679344843,144
1679344844,145
1679344845,147
1679344846,148
1679344847,143
1679344848,143
1679344849,143
1679344850,142
1679344851,140
1679344852,139
1679344853,140
1679344854,142
1679344855,146
1679344856,142
1679344857,141
1679344858,141
1679344859,135
1679344860,134
1679344861,134
1679344862,127
1679344863,125
1679344864,127
1679344865,128
1679344866,135
1679344867,133
1679344868,140
1679344869,142
1679344870,136
1679344871,137
