time,FPS
1677786637,80
1677786638,83
1677786639,85
1677786640,86
1677786641,86
1677786642,87
1677786643,87
1677786644,85
1677786645,83
1677786646,87
1677786647,88
1677786648,84
1677786649,86
1677786650,88
1677786651,84
1677786652,87
1677786653,93
1677786654,95
1677786655,97
1677786656,87
1677786657,79
1677786658,87
1677786659,86
1677786660,78
1677786661,77
1677786662,79
1677786663,83
1677786664,80
1677786665,79
1677786666,73
1677786667,76
1677786668,77
1677786669,78
1677786670,75
1677786671,80
1677786672,78
1677786673,81
1677786674,81
1677786675,80
1677786676,80
1677786677,81
1677786678,84
1677786679,85
1677786680,84
1677786681,83
1677786682,87
1677786683,87
1677786684,84
1677786685,82
1677786686,79
1677786687,77
1677786688,76
1677786689,81
1677786690,76
1677786691,79
1677786692,77
1677786693,77
1677786694,80
1677786695,78
1677786696,78
1677786697,80
1677786698,81
1677786699,80
1677786700,74
1677786701,73
1677786702,76
1677786703,77
1677786704,80
1677786705,81
1677786706,80
1677786707,76
1677786708,81
1677786709,79
1677786710,78
1677786711,79
1677786712,80
1677786713,80
1677786714,79
1677786715,77
1677786716,76
1677786717,73
1677786718,77
1677786719,77
1677786720,78
1677786721,76
1677786722,74
1677786723,74
1677786724,74
1677786725,73
1677786726,74
1677786727,75
1677786728,77
1677786729,78
1677786730,78
1677786731,76
1677786732,74
1677786733,75
1677786734,76
1677786735,76
1677786736,81
1677786737,81
1677786738,82
1677786739,82
1677786740,79
1677786741,76
1677786742,78
1677786743,77
1677786744,76
1677786745,74
1677786746,73
1677786747,74
1677786748,73
1677786749,72
1677786750,73
1677786751,73
1677786752,72
1677786753,71
1677786754,71
1677786755,71
1677786756,74
1677786757,77
1677786758,77
1677786759,76
1677786760,75
1677786761,75
1677786762,74
1677786763,73
1677786764,74
1677786765,74
1677786766,76
1677786767,78
1677786768,83
1677786769,86
1677786770,87
1677786771,87
1677786772,84
1677786773,77
1677786774,77
1677786775,77
1677786776,77
1677786777,77
1677786778,77
1677786779,76
1677786780,77
1677786781,76
1677786782,78
1677786783,77
1677786784,77
1677786785,78
1677786786,77
1677786787,78
1677786788,77
1677786789,78
1677786790,77
1677786791,78
1677786792,77
1677786793,78
1677786794,77
