time,FPS
1680545601,87
1680545602,85
1680545603,87
1680545604,88
1680545605,86
1680545606,85
1680545607,85
1680545608,86
1680545609,85
1680545610,85
1680545611,86
1680545612,84
1680545613,88
1680545614,87
1680545615,91
1680545616,94
1680545617,95
1680545618,93
1680545619,81
1680545620,83
1680545621,87
1680545622,79
1680545623,79
1680545624,81
1680545625,83
1680545626,82
1680545627,79
1680545628,74
1680545629,75
1680545630,77
1680545631,77
1680545632,79
1680545633,80
1680545634,78
1680545635,81
1680545636,81
1680545637,81
1680545638,81
1680545639,81
1680545640,85
1680545641,84
1680545642,86
1680545643,88
1680545644,88
1680545645,87
1680545646,84
1680545647,82
1680545648,77
1680545649,79
1680545650,79
1680545651,81
1680545652,76
1680545653,77
1680545654,77
1680545655,77
1680545656,77
1680545657,78
1680545658,78
1680545659,83
1680545660,81
1680545661,79
1680545662,75
1680545663,78
1680545664,77
1680545665,79
1680545666,79
1680545667,80
1680545668,80
1680545669,78
1680545670,80
1680545671,79
1680545672,78
1680545673,78
1680545674,79
1680545675,80
1680545676,79
1680545677,78
1680545678,77
1680545679,77
1680545680,82
1680545681,81
1680545682,79
1680545683,79
1680545684,77
1680545685,75
1680545686,74
1680545687,75
1680545688,74
1680545689,76
1680545690,76
1680545691,77
1680545692,78
1680545693,77
1680545694,73
1680545695,74
1680545696,74
1680545697,74
1680545698,77
1680545699,82
1680545700,81
1680545701,80
1680545702,80
1680545703,78
1680545704,77
1680545705,77
1680545706,75
1680545707,75
1680545708,73
1680545709,73
1680545710,74
1680545711,73
1680545712,71
1680545713,72
1680545714,72
1680545715,71
1680545716,71
1680545717,69
1680545718,71
1680545719,73
1680545720,76
1680545721,75
1680545722,75
1680545723,73
1680545724,72
1680545725,73
1680545726,72
1680545727,72
1680545728,73
1680545729,73
1680545730,77
1680545731,81
1680545732,84
1680545733,86
1680545734,84
1680545735,76
