time,FPS
1680576306,70
1680576307,71
1680576308,70
1680576309,70
1680576310,71
1680576311,72
1680576312,71
1680576313,71
1680576314,71
1680576315,71
1680576316,72
1680576317,70
1680576318,71
1680576319,70
1680576320,72
1680576321,77
1680576322,77
1680576323,78
1680576324,66
1680576325,68
1680576326,73
1680576327,68
1680576328,66
1680576329,66
1680576330,67
1680576331,68
1680576332,65
1680576333,62
1680576334,62
1680576335,62
1680576336,63
1680576337,64
1680576338,64
1680576339,65
1680576340,63
1680576341,67
1680576342,67
1680576343,66
1680576344,66
1680576345,67
1680576346,69
1680576347,68
1680576348,71
1680576349,71
1680576350,72
1680576351,70
1680576352,68
1680576353,65
1680576354,62
1680576355,65
1680576356,64
1680576357,65
1680576358,62
1680576359,64
1680576360,63
1680576361,64
1680576362,64
1680576363,64
1680576364,66
1680576365,66
1680576366,66
1680576367,62
1680576368,62
1680576369,62
1680576370,63
1680576371,64
1680576372,64
1680576373,66
1680576374,64
1680576375,64
1680576376,65
1680576377,64
1680576378,64
1680576379,64
1680576380,64
1680576381,65
1680576382,63
1680576383,64
1680576384,64
1680576385,63
1680576386,63
1680576387,62
1680576388,61
1680576389,59
1680576390,59
1680576391,58
1680576392,59
1680576393,59
1680576394,61
1680576395,61
1680576396,63
1680576397,60
1680576398,58
1680576399,59
1680576400,60
1680576401,60
1680576402,63
1680576403,67
1680576404,65
1680576405,67
1680576406,66
1680576407,65
1680576408,65
1680576409,63
1680576410,62
1680576411,61
1680576412,61
1680576413,59
1680576414,60
1680576415,60
1680576416,58
1680576417,58
1680576418,57
1680576419,59
1680576420,57
1680576421,57
1680576422,58
1680576423,58
1680576424,60
1680576425,63
1680576426,61
1680576427,61
1680576428,59
1680576429,59
1680576430,58
1680576431,59
1680576432,59
1680576433,59
1680576434,61
1680576435,65
1680576436,66
1680576437,69
1680576438,70
1680576439,70
1680576440,60
