time,FPS
1678647415,203
1678647416,202
1678647417,203
1678647418,204
1678647419,206
1678647420,204
1678647421,205
1678647422,205
1678647423,206
1678647424,207
1678647425,204
1678647426,204
1678647427,207
1678647428,211
1678647429,214
1678647430,217
1678647431,220
1678647432,197
1678647433,190
1678647434,202
1678647435,180
1678647436,189
1678647437,189
1678647438,188
1678647439,193
1678647440,193
1678647441,182
1678647442,182
1678647443,185
1678647444,182
1678647445,186
1678647446,189
1678647447,189
1678647448,192
1678647449,199
1678647450,199
1678647451,195
1678647452,194
1678647453,199
1678647454,206
1678647455,196
1678647456,211
1678647457,212
1678647458,209
1678647459,201
1678647460,199
1678647461,189
1678647462,188
1678647463,192
1678647464,191
1678647465,192
1678647466,187
1678647467,196
1678647468,194
1678647469,195
1678647470,188
1678647471,198
1678647472,204
1678647473,195
1678647474,193
1678647475,190
1678647476,184
1678647477,190
1678647478,187
1678647479,191
1678647480,196
1678647481,196
1678647482,191
1678647483,198
1678647484,204
1678647485,199
1678647486,200
1678647487,197
1678647488,201
1678647489,198
1678647490,197
1678647491,203
1678647492,200
1678647493,195
1678647494,195
1678647495,191
1678647496,188
1678647497,184
1678647498,184
1678647499,184
1678647500,184
1678647501,187
1678647502,190
1678647503,192
1678647504,192
1678647505,183
1678647506,182
1678647507,185
1678647508,184
1678647509,183
1678647510,197
1678647511,207
1678647512,203
1678647513,199
1678647514,204
1678647515,203
1678647516,202
1678647517,198
1678647518,194
1678647519,194
1678647520,178
1678647521,178
1678647522,182
1678647523,186
1678647524,182
1678647525,177
1678647526,178
1678647527,180
1678647528,177
1678647529,177
1678647530,173
1678647531,176
1678647532,176
1678647533,184
1678647534,177
1678647535,177
1678647536,179
1678647537,173
1678647538,174
1678647539,173
1678647540,168
1678647541,169
1678647542,169
1678647543,172
1678647544,177
1678647545,180
1678647546,185
1678647547,186
1678647548,174
1678647549,178
