time,FPS
1680038893,201
1680038894,200
1680038895,201
1680038896,205
1680038897,206
1680038898,204
1680038899,204
1680038900,204
1680038901,203
1680038902,204
1680038903,203
1680038904,203
1680038905,204
1680038906,209
1680038907,211
1680038908,215
1680038909,213
1680038910,202
1680038911,191
1680038912,197
1680038913,190
1680038914,183
1680038915,189
1680038916,191
1680038917,196
1680038918,195
1680038919,187
1680038920,183
1680038921,183
1680038922,185
1680038923,181
1680038924,188
1680038925,192
1680038926,188
1680038927,198
1680038928,198
1680038929,198
1680038930,195
1680038931,190
1680038932,204
1680038933,204
1680038934,210
1680038935,197
1680038936,211
1680038937,206
1680038938,200
1680038939,195
1680038940,187
1680038941,191
1680038942,186
1680038943,194
1680038944,191
1680038945,189
1680038946,196
1680038947,194
1680038948,197
1680038949,191
1680038950,196
1680038951,203
1680038952,197
1680038953,195
1680038954,187
1680038955,191
1680038956,185
1680038957,191
1680038958,196
1680038959,198
1680038960,196
1680038961,190
1680038962,203
1680038963,199
1680038964,197
1680038965,198
1680038966,197
1680038967,200
1680038968,196
1680038969,198
1680038970,193
1680038971,197
1680038972,201
1680038973,199
1680038974,190
1680038975,190
1680038976,187
1680038977,184
1680038978,186
1680038979,181
1680038980,184
1680038981,189
1680038982,187
1680038983,190
1680038984,192
1680038985,187
1680038986,183
1680038987,183
1680038988,186
1680038989,186
1680038990,193
1680038991,209
1680038992,201
1680038993,203
1680038994,200
1680038995,200
1680038996,196
1680038997,189
1680038998,184
1680038999,179
1680039000,181
1680039001,184
1680039002,182
1680039003,175
1680039004,177
1680039005,178
1680039006,175
1680039007,176
1680039008,173
1680039009,176
1680039010,180
1680039011,185
1680039012,177
1680039013,179
1680039014,178
1680039015,173
1680039016,172
1680039017,174
1680039018,169
1680039019,171
1680039020,172
1680039021,176
1680039022,180
1680039023,185
1680039024,186
1680039025,186
