time,FPS
1677124110,199
1677124111,200
1677124112,201
1677124113,201
1677124114,202
1677124115,201
1677124116,202
1677124117,203
1677124118,202
1677124119,200
1677124120,200
1677124121,200
1677124122,204
1677124123,207
1677124124,202
1677124125,201
1677124126,191
1677124127,176
1677124128,173
1677124129,177
1677124130,167
1677124131,170
1677124132,173
1677124133,180
1677124134,184
1677124135,182
1677124136,181
1677124137,179
1677124138,184
1677124139,182
1677124140,177
1677124141,184
1677124142,184
1677124143,190
1677124144,194
1677124145,196
1677124146,193
1677124147,193
1677124148,199
1677124149,202
1677124150,204
1677124151,202
1677124152,189
1677124153,202
1677124154,199
1677124155,195
1677124156,188
1677124157,188
1677124158,188
1677124159,186
1677124160,185
1677124161,180
1677124162,190
1677124163,179
1677124164,184
1677124165,182
1677124166,183
1677124167,187
1677124168,192
1677124169,187
1677124170,184
1677124171,185
1677124172,183
1677124173,188
1677124174,191
1677124175,191
1677124176,192
1677124177,187
1677124178,190
1677124179,193
1677124180,195
1677124181,191
1677124182,196
1677124183,194
1677124184,194
1677124185,191
1677124186,199
1677124187,198
1677124188,192
1677124189,187
1677124190,190
1677124191,188
1677124192,187
1677124193,181
1677124194,182
1677124195,181
1677124196,184
1677124197,187
1677124198,190
1677124199,189
1677124200,171
1677124201,177
1677124202,182
1677124203,184
1677124204,182
1677124205,180
1677124206,182
1677124207,181
1677124208,181
1677124209,195
1677124210,189
1677124211,193
1677124212,184
1677124213,193
1677124214,190
1677124215,189
1677124216,188
1677124217,189
1677124218,192
1677124219,194
1677124220,191
1677124221,191
1677124222,194
1677124223,192
1677124224,192
1677124225,194
1677124226,194
1677124227,192
1677124228,194
1677124229,193
1677124230,193
1677124231,192
1677124232,191
1677124233,193
1677124234,191
1677124235,191
1677124236,191
1677124237,191
1677124238,192
1677124239,189
1677124240,192
1677124241,193
1677124242,191
1677124243,193
1677124244,191
