time,FPS
1679006497,160
1679006498,160
1679006499,160
1679006500,161
1679006501,160
1679006502,159
1679006503,165
1679006504,164
1679006505,166
1679006506,166
1679006507,165
1679006508,163
1679006509,163
1679006510,162
1679006511,165
1679006512,171
1679006513,174
1679006514,174
1679006515,157
1679006516,153
1679006517,157
1679006518,152
1679006519,145
1679006520,144
1679006521,152
1679006522,156
1679006523,155
1679006524,146
1679006525,148
1679006526,147
1679006527,148
1679006528,147
1679006529,150
1679006530,151
1679006531,149
1679006532,157
1679006533,159
1679006534,157
1679006535,153
1679006536,151
1679006537,163
1679006538,165
1679006539,162
1679006540,164
1679006541,163
1679006542,157
1679006543,154
1679006544,150
1679006545,148
1679006546,155
1679006547,152
1679006548,155
1679006549,154
1679006550,157
1679006551,155
1679006552,152
1679006553,155
1679006554,154
1679006555,160
1679006556,158
1679006557,160
1679006558,151
1679006559,150
1679006560,148
1679006561,150
1679006562,153
1679006563,156
1679006564,157
1679006565,155
1679006566,154
1679006567,159
1679006568,159
1679006569,157
1679006570,155
1679006571,157
1679006572,157
1679006573,158
1679006574,160
1679006575,158
1679006576,168
1679006577,163
1679006578,164
1679006579,160
1679006580,158
1679006581,153
1679006582,150
1679006583,148
1679006584,149
1679006585,151
1679006586,151
1679006587,146
1679006588,147
1679006589,148
1679006590,149
1679006591,148
1679006592,154
1679006593,163
1679006594,160
1679006595,157
1679006596,159
1679006597,155
1679006598,157
1679006599,147
1679006600,141
1679006601,143
1679006602,146
1679006603,147
1679006604,146
1679006605,143
1679006606,144
1679006607,144
1679006608,139
1679006609,139
1679006610,139
1679006611,141
1679006612,144
1679006613,147
1679006614,143
1679006615,145
1679006616,139
1679006617,136
1679006618,137
1679006619,137
1679006620,129
1679006621,128
1679006622,135
1679006623,136
1679006624,139
1679006625,143
1679006626,141
1679006627,141
1679006628,133
1679006629,142
1679006630,135
1679006631,139
