time,FPS
1680632747,61
1680632748,60
1680632749,61
1680632750,60
1680632751,62
1680632752,62
1680632753,61
1680632754,61
1680632755,60
1680632756,62
1680632757,61
1680632758,60
1680632759,61
1680632760,58
1680632761,63
1680632762,65
1680632763,66
1680632764,66
1680632765,56
1680632766,57
1680632767,60
1680632768,55
1680632769,54
1680632770,54
1680632771,57
1680632772,56
1680632773,52
1680632774,50
1680632775,51
1680632776,52
1680632777,52
1680632778,54
1680632779,54
1680632780,53
1680632781,53
1680632782,55
1680632783,55
1680632784,53
1680632785,54
1680632786,56
1680632787,56
1680632788,57
1680632789,58
1680632790,60
1680632791,59
1680632792,57
1680632793,55
1680632794,53
1680632795,51
1680632796,53
1680632797,53
1680632798,52
1680632799,52
1680632800,51
1680632801,52
1680632802,53
1680632803,52
1680632804,53
1680632805,55
1680632806,54
1680632807,54
1680632808,50
1680632809,51
1680632810,51
1680632811,52
1680632812,53
1680632813,53
1680632814,53
1680632815,52
1680632816,53
1680632817,53
1680632818,53
1680632819,53
1680632820,53
1680632821,53
1680632822,52
1680632823,52
1680632824,51
1680632825,49
1680632826,51
1680632827,50
1680632828,53
1680632829,49
1680632830,49
1680632831,47
1680632832,48
1680632833,47
1680632834,48
1680632835,48
1680632836,49
1680632837,49
1680632838,50
1680632839,50
1680632840,46
1680632841,48
1680632842,48
1680632843,48
1680632844,50
1680632845,55
1680632846,54
1680632847,54
1680632848,53
1680632849,53
1680632850,52
1680632851,51
1680632852,50
1680632853,49
1680632854,47
1680632855,49
1680632856,49
1680632857,48
1680632858,47
1680632859,47
1680632860,48
1680632861,47
1680632862,47
1680632863,47
1680632864,48
1680632865,51
1680632866,52
1680632867,51
1680632868,51
1680632869,49
1680632870,48
1680632871,49
1680632872,48
1680632873,48
1680632874,49
1680632875,49
1680632876,53
1680632877,56
1680632878,57
1680632879,56
1680632880,58
1680632881,51
1680632882,50
