time,FPS
1680121567,188
1680121568,190
1680121569,191
1680121570,191
1680121571,193
1680121572,193
1680121573,193
1680121574,193
1680121575,192
1680121576,192
1680121577,187
1680121578,198
1680121579,202
1680121580,199
1680121581,191
1680121582,185
1680121583,170
1680121584,158
1680121585,155
1680121586,160
1680121587,159
1680121588,156
1680121589,160
1680121590,156
1680121591,165
1680121592,166
1680121593,168
1680121594,171
1680121595,175
1680121596,166
1680121597,175
1680121598,180
1680121599,184
1680121600,182
1680121601,186
1680121602,189
1680121603,188
1680121604,189
1680121605,195
1680121606,197
1680121607,183
1680121608,191
1680121609,190
1680121610,190
1680121611,191
1680121612,189
1680121613,187
1680121614,185
1680121615,182
1680121616,174
1680121617,175
1680121618,164
1680121619,172
1680121620,174
1680121621,175
1680121622,171
1680121623,172
1680121624,176
1680121625,187
1680121626,186
1680121627,181
1680121628,189
1680121629,187
1680121630,189
1680121631,191
1680121632,191
1680121633,191
1680121634,182
1680121635,193
1680121636,187
1680121637,188
1680121638,190
1680121639,193
1680121640,193
1680121641,186
1680121642,190
1680121643,196
1680121644,195
1680121645,190
1680121646,196
1680121647,190
1680121648,192
1680121649,188
1680121650,186
1680121651,180
1680121652,186
1680121653,184
1680121654,187
1680121655,188
1680121656,184
1680121657,182
1680121658,184
1680121659,182
1680121660,184
1680121661,183
1680121662,191
1680121663,180
1680121664,191
1680121665,189
1680121666,192
1680121667,191
1680121668,189
1680121669,185
1680121670,177
1680121671,173
1680121672,179
1680121673,183
1680121674,176
1680121675,173
1680121676,174
1680121677,173
1680121678,172
1680121679,173
1680121680,172
1680121681,173
1680121682,176
1680121683,178
1680121684,171
1680121685,173
1680121686,172
1680121687,169
1680121688,168
1680121689,169
1680121690,161
1680121691,167
1680121692,164
1680121693,173
1680121694,175
1680121695,176
1680121696,174
1680121697,177
1680121698,163
1680121699,168
1680121700,169
1680121701,168
