time,FPS
1675824553,50
1675824554,51
1675824555,51
1675824556,51
1675824557,52
1675824558,52
1675824559,52
1675824560,51
1675824561,52
1675824562,53
1675824563,52
1675824564,51
1675824565,52
1675824566,51
1675824567,52
1675824568,54
1675824569,55
1675824570,56
1675824571,50
1675824572,50
1675824573,52
1675824574,47
1675824575,46
1675824576,46
1675824577,48
1675824578,49
1675824579,47
1675824580,46
1675824581,47
1675824582,46
1675824583,47
1675824584,48
1675824585,48
1675824586,49
1675824587,47
1675824588,50
1675824589,51
1675824590,49
1675824591,48
1675824592,48
1675824593,50
1675824594,52
1675824595,52
1675824596,52
1675824597,52
1675824598,50
1675824599,50
1675824600,47
1675824601,46
1675824602,48
1675824603,48
1675824604,48
1675824605,48
1675824606,48
1675824607,48
1675824608,48
1675824609,49
1675824610,48
1675824611,50
1675824612,50
1675824613,49
1675824614,46
1675824615,46
1675824616,45
1675824617,46
1675824618,46
1675824619,48
1675824620,47
1675824621,47
1675824622,47
1675824623,49
1675824624,50
1675824625,48
1675824626,48
1675824627,49
1675824628,48
1675824629,48
1675824630,49
1675824631,47
1675824632,47
1675824633,48
1675824634,49
1675824635,48
1675824636,46
1675824637,45
1675824638,44
1675824639,44
1675824640,45
1675824641,45
1675824642,45
1675824643,46
1675824644,46
1675824645,47
1675824646,45
1675824647,45
1675824648,45
1675824649,45
1675824650,45
1675824651,49
1675824652,51
1675824653,49
1675824654,49
1675824655,48
1675824656,49
1675824657,47
1675824658,47
1675824659,44
1675824660,44
1675824661,43
1675824662,44
1675824663,45
1675824664,43
1675824665,43
1675824666,43
1675824667,43
1675824668,43
1675824669,43
1675824670,43
1675824671,43
1675824672,46
1675824673,46
1675824674,44
1675824675,44
1675824676,42
1675824677,41
1675824678,41
1675824679,42
1675824680,40
1675824681,42
1675824682,43
