time,FPS
1675806000,157
1675806001,161
1675806002,160
1675806003,161
1675806004,157
1675806005,161
1675806006,163
1675806007,163
1675806008,162
1675806009,162
1675806010,161
1675806011,158
1675806012,159
1675806013,162
1675806014,166
1675806015,165
1675806016,171
1675806017,175
1675806018,167
1675806019,154
1675806020,158
1675806021,159
1675806022,150
1675806023,145
1675806024,151
1675806025,157
1675806026,157
1675806027,149
1675806028,148
1675806029,146
1675806030,143
1675806031,149
1675806032,148
1675806033,152
1675806034,149
1675806035,155
1675806036,159
1675806037,157
1675806038,151
1675806039,155
1675806040,160
1675806041,165
1675806042,160
1675806043,165
1675806044,165
1675806045,161
1675806046,154
1675806047,152
1675806048,147
1675806049,153
1675806050,153
1675806051,154
1675806052,153
1675806053,155
1675806054,154
1675806055,152
1675806056,154
1675806057,155
1675806058,157
1675806059,161
1675806060,159
1675806061,155
1675806062,149
1675806063,151
1675806064,148
1675806065,151
1675806066,155
1675806067,156
1675806068,154
1675806069,153
1675806070,162
1675806071,161
1675806072,157
1675806073,158
1675806074,157
1675806075,159
1675806076,159
1675806077,159
1675806078,155
1675806079,154
1675806080,156
1675806081,163
1675806082,157
1675806083,150
1675806084,147
1675806085,145
1675806086,146
1675806087,146
1675806088,147
1675806089,147
1675806090,149
1675806091,152
1675806092,149
1675806093,146
1675806094,148
1675806095,150
1675806096,150
1675806097,151
1675806098,166
1675806099,165
1675806100,159
1675806101,159
1675806102,144
1675806103,159
1675806104,154
1675806105,152
1675806106,145
1675806107,142
1675806108,144
1675806109,148
1675806110,147
1675806111,143
1675806112,143
1675806113,144
1675806114,141
1675806115,141
1675806116,140
1675806117,140
1675806118,142
1675806119,147
1675806120,141
1675806121,141
1675806122,140
1675806123,134
1675806124,134
1675806125,135
1675806126,125
1675806127,125
1675806128,129
1675806129,131
1675806130,135
1675806131,138
1675806132,138
1675806133,139
1675806134,136
1675806135,138
1675806136,135
1675806137,138
