time,FPS
1680577101,70
1680577102,71
1680577103,71
1680577104,70
1680577105,72
1680577106,71
1680577107,71
1680577108,72
1680577109,72
1680577110,71
1680577111,72
1680577112,72
1680577113,70
1680577114,71
1680577115,72
1680577116,75
1680577117,78
1680577118,78
1680577119,76
1680577120,66
1680577121,70
1680577122,71
1680577123,66
1680577124,66
1680577125,67
1680577126,68
1680577127,67
1680577128,63
1680577129,62
1680577130,62
1680577131,62
1680577132,64
1680577133,64
1680577134,65
1680577135,64
1680577136,66
1680577137,67
1680577138,67
1680577139,66
1680577140,67
1680577141,69
1680577142,69
1680577143,70
1680577144,71
1680577145,72
1680577146,72
1680577147,69
1680577148,67
1680577149,63
1680577150,64
1680577151,64
1680577152,67
1680577153,63
1680577154,64
1680577155,64
1680577156,63
1680577157,66
1680577158,64
1680577159,65
1680577160,69
1680577161,67
1680577162,65
1680577163,61
1680577164,63
1680577165,63
1680577166,64
1680577167,65
1680577168,65
1680577169,64
1680577170,64
1680577171,66
1680577172,65
1680577173,64
1680577174,65
1680577175,66
1680577176,66
1680577177,65
1680577178,63
1680577179,65
1680577180,64
1680577181,65
1680577182,63
1680577183,62
1680577184,61
1680577185,60
1680577186,60
1680577187,60
1680577188,61
1680577189,62
1680577190,63
1680577191,63
1680577192,62
1680577193,59
1680577194,60
1680577195,60
1680577196,61
1680577197,64
1680577198,68
1680577199,66
1680577200,67
1680577201,66
1680577202,66
1680577203,64
1680577204,63
1680577205,61
1680577206,61
1680577207,59
1680577208,60
1680577209,61
1680577210,59
1680577211,58
1680577212,58
1680577213,58
1680577214,58
1680577215,58
1680577216,57
1680577217,58
1680577218,60
1680577219,63
1680577220,62
1680577221,61
1680577222,60
1680577223,59
1680577224,59
1680577225,60
1680577226,59
1680577227,60
1680577228,60
1680577229,64
1680577230,68
1680577231,68
1680577232,69
1680577233,71
1680577234,60
1680577235,61
1680577236,62
