time,FPS
1678128637,211
1678128638,211
1678128639,215
1678128640,214
1678128641,213
1678128642,216
1678128643,216
1678128644,218
1678128645,217
1678128646,219
1678128647,216
1678128648,212
1678128649,218
1678128650,221
1678128651,221
1678128652,215
1678128653,211
1678128654,199
1678128655,194
1678128656,192
1678128657,190
1678128658,191
1678128659,183
1678128660,184
1678128661,191
1678128662,194
1678128663,193
1678128664,190
1678128665,190
1678128666,191
1678128667,190
1678128668,191
1678128669,196
1678128670,203
1678128671,200
1678128672,204
1678128673,210
1678128674,209
1678128675,209
1678128676,215
1678128677,220
1678128678,214
1678128679,211
1678128680,212
1678128681,213
1678128682,212
1678128683,212
1678128684,211
1678128685,209
1678128686,200
1678128687,191
1678128688,198
1678128689,194
1678128690,198
1678128691,197
1678128692,199
1678128693,196
1678128694,198
1678128695,201
1678128696,212
1678128697,211
1678128698,212
1678128699,216
1678128700,214
1678128701,214
1678128702,214
1678128703,215
1678128704,214
1678128705,211
1678128706,219
1678128707,210
1678128708,211
1678128709,210
1678128710,210
1678128711,211
1678128712,209
1678128713,210
1678128714,216
1678128715,214
1678128716,215
1678128717,215
1678128718,206
1678128719,212
1678128720,213
1678128721,213
1678128722,212
1678128723,213
1678128724,213
1678128725,214
1678128726,215
1678128727,213
1678128728,213
1678128729,212
1678128730,215
1678128731,212
1678128732,213
1678128733,220
1678128734,209
1678128735,211
1678128736,193
1678128737,209
1678128738,210
1678128739,211
1678128740,208
1678128741,203
1678128742,199
1678128743,205
1678128744,203
1678128745,206
1678128746,203
1678128747,202
1678128748,202
1678128749,203
1678128750,203
1678128751,203
1678128752,201
1678128753,208
1678128754,204
1678128755,199
1678128756,202
1678128757,199
1678128758,196
1678128759,197
1678128760,193
1678128761,183
1678128762,186
1678128763,187
1678128764,189
1678128765,193
1678128766,194
1678128767,196
1678128768,189
1678128769,192
1678128770,194
1678128771,195
1678128772,196
