time,FPS
1674677426,96
1674677427,95
1674677428,96
1674677429,95
1674677430,97
1674677431,99
1674677432,97
1674677433,96
1674677434,96
1674677435,97
1674677436,96
1674677437,95
1674677438,95
1674677439,94
1674677440,96
1674677441,97
1674677442,103
1674677443,104
1674677444,106
1674677445,97
1674677446,88
1674677447,94
1674677448,91
1674677449,85
1674677450,87
1674677451,89
1674677452,91
1674677453,90
1674677454,86
1674677455,85
1674677456,83
1674677457,84
1674677458,84
1674677459,85
1674677460,88
1674677461,85
1674677462,88
1674677463,89
1674677464,87
1674677465,88
1674677466,88
1674677467,91
1674677468,92
1674677469,94
1674677470,96
1674677471,97
1674677472,97
1674677473,92
1674677474,90
1674677475,85
1674677476,85
1674677477,87
1674677478,88
1674677479,84
1674677480,86
1674677481,86
1674677482,85
1674677483,86
1674677484,85
1674677485,87
1674677486,92
1674677487,89
1674677488,88
1674677489,83
1674677490,84
1674677491,84
1674677492,85
1674677493,88
1674677494,88
1674677495,88
1674677496,85
1674677497,87
1674677498,89
1674677499,88
1674677500,87
1674677501,88
1674677502,89
1674677503,86
1674677504,82
1674677505,83
1674677506,84
1674677507,89
1674677508,84
1674677509,82
1674677510,79
1674677511,79
1674677512,79
1674677513,79
1674677514,81
1674677515,82
1674677516,83
1674677517,84
1674677518,82
1674677519,80
1674677520,79
1674677521,81
1674677522,81
1674677523,84
1674677524,94
1674677525,91
1674677526,90
1674677527,89
1674677528,87
1674677529,85
1674677530,85
1674677531,82
1674677532,81
1674677533,81
1674677534,83
1674677535,82
1674677536,79
1674677537,79
1674677538,80
1674677539,79
1674677540,79
1674677541,78
1674677542,80
1674677543,82
1674677544,86
1674677545,84
1674677546,84
1674677547,82
1674677548,81
1674677549,80
1674677550,81
1674677551,80
1674677552,80
1674677553,81
1674677554,83
1674677555,88
1674677556,89
1674677557,90
1674677558,91
1674677559,87
1674677560,82
