time,FPS
1679355738,155
1679355739,161
1679355740,161
1679355741,161
1679355742,156
1679355743,162
1679355744,165
1679355745,164
1679355746,164
1679355747,159
1679355748,165
1679355749,166
1679355750,163
1679355751,160
1679355752,166
1679355753,170
1679355754,173
1679355755,174
1679355756,170
1679355757,155
1679355758,157
1679355759,161
1679355760,151
1679355761,145
1679355762,150
1679355763,155
1679355764,155
1679355765,153
1679355766,146
1679355767,146
1679355768,146
1679355769,145
1679355770,148
1679355771,151
1679355772,150
1679355773,155
1679355774,160
1679355775,156
1679355776,153
1679355777,155
1679355778,158
1679355779,161
1679355780,161
1679355781,161
1679355782,161
1679355783,160
1679355784,154
1679355785,151
1679355786,147
1679355787,151
1679355788,153
1679355789,154
1679355790,152
1679355791,155
1679355792,157
1679355793,155
1679355794,158
1679355795,154
1679355796,157
1679355797,163
1679355798,158
1679355799,156
1679355800,150
1679355801,152
1679355802,150
1679355803,150
1679355804,156
1679355805,156
1679355806,155
1679355807,154
1679355808,163
1679355809,161
1679355810,159
1679355811,157
1679355812,157
1679355813,158
1679355814,158
1679355815,159
1679355816,159
1679355817,169
1679355818,166
1679355819,165
1679355820,162
1679355821,158
1679355822,152
1679355823,149
1679355824,149
1679355825,151
1679355826,152
1679355827,153
1679355828,151
1679355829,146
1679355830,147
1679355831,148
1679355832,149
1679355833,148
1679355834,150
1679355835,168
1679355836,165
1679355837,155
1679355838,162
1679355839,158
1679355840,158
1679355841,144
1679355842,141
1679355843,145
1679355844,148
1679355845,148
1679355846,145
1679355847,143
1679355848,142
1679355849,142
1679355850,142
1679355851,139
1679355852,140
1679355853,143
1679355854,146
1679355855,145
1679355856,143
1679355857,143
1679355858,136
1679355859,134
1679355860,137
1679355861,129
1679355862,126
1679355863,127
1679355864,128
1679355865,134
1679355866,137
1679355867,140
1679355868,140
1679355869,137
1679355870,136
1679355871,139
1679355872,139
