time,FPS
1676063357,160
1676063358,160
1676063359,161
1676063360,159
1676063361,162
1676063362,163
1676063363,163
1676063364,160
1676063365,164
1676063366,165
1676063367,164
1676063368,162
1676063369,162
1676063370,162
1676063371,166
1676063372,169
1676063373,173
1676063374,176
1676063375,156
1676063376,151
1676063377,159
1676063378,150
1676063379,147
1676063380,145
1676063381,151
1676063382,153
1676063383,154
1676063384,145
1676063385,146
1676063386,143
1676063387,147
1676063388,149
1676063389,149
1676063390,150
1676063391,154
1676063392,159
1676063393,158
1676063394,154
1676063395,153
1676063396,154
1676063397,163
1676063398,162
1676063399,163
1676063400,165
1676063401,162
1676063402,157
1676063403,152
1676063404,147
1676063405,148
1676063406,152
1676063407,150
1676063408,152
1676063409,153
1676063410,155
1676063411,151
1676063412,152
1676063413,152
1676063414,153
1676063415,157
1676063416,158
1676063417,156
1676063418,151
1676063419,150
1676063420,149
1676063421,150
1676063422,156
1676063423,156
1676063424,156
1676063425,153
1676063426,157
1676063427,163
1676063428,159
1676063429,156
1676063430,158
1676063431,159
1676063432,161
1676063433,162
1676063434,167
1676063435,159
1676063436,161
1676063437,153
1676063438,148
1676063439,146
1676063440,144
1676063441,146
1676063442,147
1676063443,146
1676063444,148
1676063445,150
1676063446,150
1676063447,145
1676063448,144
1676063449,146
1676063450,146
1676063451,148
1676063452,161
1676063453,163
1676063454,159
1676063455,159
1676063456,157
1676063457,156
1676063458,154
1676063459,146
1676063460,141
1676063461,139
1676063462,143
1676063463,142
1676063464,142
1676063465,140
1676063466,137
1676063467,140
1676063468,140
1676063469,139
1676063470,138
1676063471,139
1676063472,144
1676063473,143
1676063474,138
1676063475,140
1676063476,134
1676063477,132
1676063478,132
1676063479,132
1676063480,132
1676063481,131
1676063482,134
1676063483,134
1676063484,141
1676063485,144
1676063486,146
1676063487,147
1676063488,138
1676063489,142
1676063490,140
1676063491,145
1676063492,145
1676063493,145
