time,FPS
1675106299,159
1675106300,160
1675106301,158
1675106302,155
1675106303,158
1675106304,160
1675106305,162
1675106306,158
1675106307,159
1675106308,161
1675106309,158
1675106310,161
1675106311,158
1675106312,159
1675106313,164
1675106314,164
1675106315,169
1675106316,173
1675106317,169
1675106318,153
1675106319,154
1675106320,158
1675106321,149
1675106322,144
1675106323,145
1675106324,152
1675106325,156
1675106326,149
1675106327,145
1675106328,145
1675106329,146
1675106330,147
1675106331,146
1675106332,151
1675106333,148
1675106334,158
1675106335,158
1675106336,156
1675106337,151
1675106338,153
1675106339,161
1675106340,164
1675106341,165
1675106342,159
1675106343,165
1675106344,158
1675106345,151
1675106346,151
1675106347,146
1675106348,150
1675106349,151
1675106350,152
1675106351,149
1675106352,153
1675106353,155
1675106354,152
1675106355,152
1675106356,152
1675106357,156
1675106358,160
1675106359,157
1675106360,153
1675106361,149
1675106362,147
1675106363,147
1675106364,149
1675106365,153
1675106366,155
1675106367,154
1675106368,152
1675106369,160
1675106370,156
1675106371,154
1675106372,154
1675106373,153
1675106374,155
1675106375,156
1675106376,162
1675106377,160
1675106378,161
1675106379,158
1675106380,152
1675106381,150
1675106382,146
1675106383,143
1675106384,144
1675106385,147
1675106386,146
1675106387,147
1675106388,149
1675106389,146
1675106390,141
1675106391,144
1675106392,144
1675106393,145
1675106394,147
1675106395,166
1675106396,159
1675106397,158
1675106398,159
1675106399,159
1675106400,156
1675106401,153
1675106402,143
1675106403,141
1675106404,142
1675106405,145
1675106406,143
1675106407,141
1675106408,139
1675106409,139
1675106410,138
1675106411,137
1675106412,137
1675106413,139
1675106414,140
1675106415,144
1675106416,141
1675106417,141
1675106418,138
1675106419,132
1675106420,132
1675106421,133
1675106422,131
1675106423,132
1675106424,132
1675106425,134
1675106426,134
1675106427,138
1675106428,143
1675106429,146
1675106430,139
1675106431,141
1675106432,138
1675106433,140
1675106434,141
1675106435,141
1675106436,141
