time,FPS
1675881800,159
1675881801,160
1675881802,159
1675881803,159
1675881804,161
1675881805,163
1675881806,158
1675881807,162
1675881808,162
1675881809,162
1675881810,162
1675881811,162
1675881812,159
1675881813,157
1675881814,163
1675881815,167
1675881816,171
1675881817,173
1675881818,172
1675881819,155
1675881820,155
1675881821,161
1675881822,150
1675881823,146
1675881824,150
1675881825,155
1675881826,154
1675881827,150
1675881828,145
1675881829,145
1675881830,143
1675881831,147
1675881832,148
1675881833,151
1675881834,148
1675881835,155
1675881836,158
1675881837,158
1675881838,151
1675881839,153
1675881840,156
1675881841,159
1675881842,161
1675881843,157
1675881844,165
1675881845,161
1675881846,154
1675881847,154
1675881848,147
1675881849,149
1675881850,152
1675881851,150
1675881852,150
1675881853,152
1675881854,154
1675881855,150
1675881856,152
1675881857,151
1675881858,153
1675881859,159
1675881860,154
1675881861,155
1675881862,149
1675881863,151
1675881864,145
1675881865,147
1675881866,154
1675881867,154
1675881868,156
1675881869,153
1675881870,158
1675881871,161
1675881872,155
1675881873,155
1675881874,154
1675881875,156
1675881876,156
1675881877,155
1675881878,159
1675881879,162
1675881880,162
1675881881,152
1675881882,157
1675881883,154
1675881884,152
1675881885,150
1675881886,147
1675881887,148
1675881888,150
1675881889,150
1675881890,151
1675881891,152
1675881892,150
1675881893,147
1675881894,148
1675881895,149
1675881896,150
1675881897,153
1675881898,164
1675881899,159
1675881900,160
1675881901,160
1675881902,159
1675881903,160
1675881904,158
1675881905,155
1675881906,139
1675881907,140
1675881908,140
1675881909,146
1675881910,146
1675881911,145
1675881912,141
1675881913,142
1675881914,142
1675881915,138
1675881916,137
1675881917,139
1675881918,140
1675881919,144
1675881920,143
1675881921,140
1675881922,141
1675881923,135
1675881924,131
1675881925,134
1675881926,130
1675881927,129
1675881928,129
1675881929,131
1675881930,135
1675881931,137
1675881932,143
1675881933,145
1675881934,142
1675881935,139
1675881936,138
1675881937,143
