time,FPS
1677713164,59
1677713165,60
1677713166,57
1677713167,58
1677713168,60
1677713169,61
1677713170,60
1677713171,61
1677713172,60
1677713173,61
1677713174,61
1677713175,59
1677713176,60
1677713177,59
1677713178,60
1677713179,62
1677713180,65
1677713181,65
1677713182,60
1677713183,56
1677713184,59
1677713185,58
1677713186,56
1677713187,54
1677713188,56
1677713189,56
1677713190,55
1677713191,50
1677713192,51
1677713193,51
1677713194,53
1677713195,53
1677713196,55
1677713197,55
1677713198,53
1677713199,55
1677713200,56
1677713201,57
1677713202,54
1677713203,56
1677713204,57
1677713205,57
1677713206,57
1677713207,59
1677713208,59
1677713209,58
1677713210,56
1677713211,54
1677713212,51
1677713213,52
1677713214,52
1677713215,54
1677713216,50
1677713217,52
1677713218,51
1677713219,51
1677713220,52
1677713221,51
1677713222,53
1677713223,55
1677713224,54
1677713225,52
1677713226,50
1677713227,52
1677713228,52
1677713229,52
1677713230,53
1677713231,53
1677713232,53
1677713233,52
1677713234,54
1677713235,53
1677713236,53
1677713237,52
1677713238,54
1677713239,53
1677713240,53
1677713241,51
1677713242,51
1677713243,51
1677713244,51
1677713245,51
1677713246,54
1677713247,51
1677713248,48
1677713249,48
1677713250,49
1677713251,48
1677713252,48
1677713253,49
1677713254,50
1677713255,50
1677713256,51
1677713257,50
1677713258,47
1677713259,48
1677713260,48
1677713261,49
1677713262,51
1677713263,57
1677713264,55
1677713265,56
1677713266,56
1677713267,54
1677713268,52
1677713269,51
1677713270,50
1677713271,49
1677713272,49
1677713273,50
1677713274,49
1677713275,48
1677713276,48
1677713277,47
1677713278,47
1677713279,47
1677713280,47
1677713281,49
1677713282,49
1677713283,52
1677713284,51
1677713285,51
1677713286,50
1677713287,48
1677713288,47
1677713289,49
1677713290,48
1677713291,48
1677713292,49
1677713293,50
1677713294,53
