time,FPS
1680382239,113
1680382240,113
1680382241,113
1680382242,112
1680382243,115
1680382244,116
1680382245,114
1680382246,115
1680382247,115
1680382248,114
1680382249,114
1680382250,112
1680382251,113
1680382252,116
1680382253,121
1680382254,124
1680382255,126
1680382256,113
1680382257,109
1680382258,116
1680382259,114
1680382260,106
1680382261,102
1680382262,105
1680382263,108
1680382264,108
1680382265,104
1680382266,101
1680382267,101
1680382268,104
1680382269,104
1680382270,104
1680382271,105
1680382272,103
1680382273,108
1680382274,110
1680382275,109
1680382276,107
1680382277,105
1680382278,110
1680382279,113
1680382280,113
1680382281,110
1680382282,115
1680382283,113
1680382284,109
1680382285,106
1680382286,101
1680382287,104
1680382288,105
1680382289,107
1680382290,104
1680382291,105
1680382292,105
1680382293,104
1680382294,107
1680382295,105
1680382296,107
1680382297,111
1680382298,108
1680382299,106
1680382300,100
1680382301,101
1680382302,99
1680382303,102
1680382304,104
1680382305,106
1680382306,105
1680382307,103
1680382308,109
1680382309,108
1680382310,106
1680382311,107
1680382312,106
1680382313,108
1680382314,105
1680382315,106
1680382316,107
1680382317,115
1680382318,111
1680382319,110
1680382320,108
1680382321,106
1680382322,102
1680382323,99
1680382324,99
1680382325,100
1680382326,100
1680382327,102
1680382328,102
1680382329,97
1680382330,97
1680382331,98
1680382332,99
1680382333,98
1680382334,101
1680382335,113
1680382336,111
1680382337,108
1680382338,109
1680382339,108
1680382340,104
1680382341,97
1680382342,97
1680382343,98
1680382344,100
1680382345,98
1680382346,97
1680382347,96
1680382348,96
1680382349,96
1680382350,96
1680382351,95
1680382352,96
1680382353,98
1680382354,101
1680382355,101
1680382356,100
1680382357,98
1680382358,94
1680382359,94
1680382360,94
1680382361,93
1680382362,93
1680382363,95
1680382364,96
1680382365,99
1680382366,102
1680382367,103
1680382368,103
1680382369,101
1680382370,97
1680382371,99
1680382372,100
1680382373,99
1680382374,100
