time,FPS
1675708137,160
1675708138,160
1675708139,159
1675708140,158
1675708141,160
1675708142,159
1675708143,161
1675708144,163
1675708145,160
1675708146,163
1675708147,164
1675708148,162
1675708149,162
1675708150,164
1675708151,167
1675708152,170
1675708153,172
1675708154,172
1675708155,154
1675708156,153
1675708157,160
1675708158,150
1675708159,146
1675708160,146
1675708161,150
1675708162,151
1675708163,153
1675708164,146
1675708165,145
1675708166,147
1675708167,148
1675708168,147
1675708169,151
1675708170,149
1675708171,152
1675708172,159
1675708173,159
1675708174,151
1675708175,152
1675708176,156
1675708177,163
1675708178,166
1675708179,160
1675708180,165
1675708181,160
1675708182,156
1675708183,154
1675708184,147
1675708185,148
1675708186,151
1675708187,151
1675708188,151
1675708189,153
1675708190,153
1675708191,151
1675708192,155
1675708193,154
1675708194,155
1675708195,161
1675708196,157
1675708197,157
1675708198,149
1675708199,148
1675708200,147
1675708201,146
1675708202,152
1675708203,153
1675708204,154
1675708205,151
1675708206,155
1675708207,161
1675708208,156
1675708209,158
1675708210,156
1675708211,160
1675708212,160
1675708213,161
1675708214,164
1675708215,163
1675708216,165
1675708217,161
1675708218,159
1675708219,157
1675708220,154
1675708221,151
1675708222,148
1675708223,150
1675708224,151
1675708225,153
1675708226,152
1675708227,147
1675708228,147
1675708229,148
1675708230,149
1675708231,147
1675708232,164
1675708233,165
1675708234,162
1675708235,161
1675708236,159
1675708237,159
1675708238,156
1675708239,147
1675708240,142
1675708241,143
1675708242,147
1675708243,148
1675708244,145
1675708245,143
1675708246,142
1675708247,143
1675708248,140
1675708249,140
1675708250,140
1675708251,141
1675708252,146
1675708253,144
1675708254,141
1675708255,142
1675708256,136
1675708257,133
1675708258,133
1675708259,135
1675708260,134
1675708261,136
1675708262,136
1675708263,138
1675708264,142
1675708265,144
1675708266,146
1675708267,145
1675708268,139
1675708269,144
1675708270,140
1675708271,142
1675708272,143
1675708273,143
1675708274,143
