time,FPS
1677704378,146
1677704379,145
1677704380,144
1677704381,144
1677704382,147
1677704383,148
1677704384,147
1677704385,147
1677704386,147
1677704387,148
1677704388,148
1677704389,147
1677704390,147
1677704391,145
1677704392,148
1677704393,152
1677704394,155
1677704395,158
1677704396,139
1677704397,135
1677704398,140
1677704399,141
1677704400,130
1677704401,135
1677704402,135
1677704403,136
1677704404,135
1677704405,129
1677704406,125
1677704407,126
1677704408,128
1677704409,129
1677704410,130
1677704411,131
1677704412,129
1677704413,136
1677704414,135
1677704415,136
1677704416,137
1677704417,139
1677704418,142
1677704419,144
1677704420,146
1677704421,145
1677704422,148
1677704423,147
1677704424,132
1677704425,139
1677704426,131
1677704427,134
1677704428,133
1677704429,137
1677704430,132
1677704431,135
1677704432,134
1677704433,132
1677704434,136
1677704435,133
1677704436,128
1677704437,141
1677704438,138
1677704439,135
1677704440,130
1677704441,131
1677704442,131
1677704443,132
1677704444,136
1677704445,135
1677704446,137
1677704447,134
1677704448,138
1677704449,132
1677704450,135
1677704451,134
1677704452,138
1677704453,139
1677704454,138
1677704455,142
1677704456,144
1677704457,138
1677704458,142
1677704459,139
1677704460,137
1677704461,130
1677704462,130
1677704463,126
1677704464,128
1677704465,128
1677704466,130
1677704467,131
1677704468,129
1677704469,124
1677704470,127
1677704471,126
1677704472,128
1677704473,131
1677704474,137
1677704475,140
1677704476,139
1677704477,128
1677704478,134
1677704479,132
1677704480,131
1677704481,127
1677704482,127
1677704483,125
1677704484,128
1677704485,123
1677704486,121
1677704487,120
1677704488,122
1677704489,120
1677704490,119
1677704491,118
1677704492,120
1677704493,123
1677704494,127
1677704495,127
1677704496,127
1677704497,126
1677704498,123
1677704499,122
1677704500,120
1677704501,119
1677704502,123
1677704503,119
1677704504,125
1677704505,130
1677704506,137
1677704507,139
1677704508,140
1677704509,132
