time,FPS
1677121077,141
1677121078,141
1677121079,142
1677121080,141
1677121081,139
1677121082,143
1677121083,144
1677121084,144
1677121085,142
1677121086,143
1677121087,142
1677121088,143
1677121089,139
1677121090,143
1677121091,143
1677121092,146
1677121093,152
1677121094,154
1677121095,156
1677121096,140
1677121097,133
1677121098,143
1677121099,132
1677121100,132
1677121101,132
1677121102,136
1677121103,133
1677121104,132
1677121105,125
1677121106,125
1677121107,125
1677121108,123
1677121109,127
1677121110,130
1677121111,130
1677121112,126
1677121113,133
1677121114,134
1677121115,132
1677121116,134
1677121117,136
1677121118,140
1677121119,143
1677121120,139
1677121121,143
1677121122,144
1677121123,139
1677121124,138
1677121125,131
1677121126,129
1677121127,131
1677121128,131
1677121129,132
1677121130,129
1677121131,131
1677121132,130
1677121133,131
1677121134,128
1677121135,132
1677121136,134
1677121137,134
1677121138,133
1677121139,127
1677121140,125
1677121141,126
1677121142,126
1677121143,129
1677121144,131
1677121145,132
1677121146,130
1677121147,126
1677121148,134
1677121149,132
1677121150,132
1677121151,132
1677121152,133
1677121153,131
1677121154,133
1677121155,136
1677121156,134
1677121157,139
1677121158,136
1677121159,134
1677121160,130
1677121161,128
1677121162,124
1677121163,124
1677121164,124
1677121165,126
1677121166,128
1677121167,127
1677121168,122
1677121169,119
1677121170,120
1677121171,122
1677121172,123
1677121173,130
1677121174,136
1677121175,136
1677121176,134
1677121177,132
1677121178,130
1677121179,128
1677121180,125
1677121181,123
1677121182,121
1677121183,123
1677121184,123
1677121185,120
1677121186,116
1677121187,119
1677121188,121
1677121189,118
1677121190,117
1677121191,118
1677121192,118
1677121193,124
1677121194,126
1677121195,123
1677121196,125
1677121197,121
1677121198,121
1677121199,119
1677121200,120
1677121201,119
1677121202,120
1677121203,122
1677121204,128
1677121205,134
1677121206,138
1677121207,138
1677121208,138
1677121209,120
1677121210,123
1677121211,121
1677121212,123
1677121213,123
