time,FPS
1677192046,160
1677192047,160
1677192048,160
1677192049,157
1677192050,161
1677192051,164
1677192052,163
1677192053,162
1677192054,161
1677192055,162
1677192056,161
1677192057,159
1677192058,159
1677192059,166
1677192060,168
1677192061,172
1677192062,174
1677192063,167
1677192064,153
1677192065,157
1677192066,159
1677192067,148
1677192068,144
1677192069,151
1677192070,153
1677192071,156
1677192072,149
1677192073,147
1677192074,146
1677192075,147
1677192076,150
1677192077,149
1677192078,151
1677192079,149
1677192080,159
1677192081,155
1677192082,154
1677192083,152
1677192084,153
1677192085,160
1677192086,163
1677192087,163
1677192088,161
1677192089,163
1677192090,157
1677192091,153
1677192092,148
1677192093,147
1677192094,151
1677192095,151
1677192096,153
1677192097,150
1677192098,154
1677192099,153
1677192100,152
1677192101,155
1677192102,154
1677192103,155
1677192104,159
1677192105,155
1677192106,154
1677192107,149
1677192108,148
1677192109,147
1677192110,149
1677192111,155
1677192112,154
1677192113,154
1677192114,152
1677192115,160
1677192116,158
1677192117,160
1677192118,156
1677192119,158
1677192120,159
1677192121,158
1677192122,162
1677192123,161
1677192124,170
1677192125,161
1677192126,157
1677192127,153
1677192128,145
1677192129,145
1677192130,145
1677192131,147
1677192132,149
1677192133,149
1677192134,150
1677192135,147
1677192136,145
1677192137,145
1677192138,147
1677192139,148
1677192140,150
1677192141,168
1677192142,163
1677192143,162
1677192144,161
1677192145,159
1677192146,157
1677192147,154
1677192148,143
1677192149,142
1677192150,143
1677192151,147
1677192152,144
1677192153,142
1677192154,141
1677192155,140
1677192156,140
1677192157,140
1677192158,138
1677192159,140
1677192160,141
1677192161,145
1677192162,140
1677192163,141
1677192164,139
1677192165,133
1677192166,133
1677192167,135
1677192168,129
1677192169,132
1677192170,133
1677192171,136
1677192172,138
1677192173,142
1677192174,144
1677192175,146
1677192176,139
1677192177,142
1677192178,140
1677192179,143
1677192180,142
