time,FPS
1680109488,198
1680109489,199
1680109490,198
1680109491,196
1680109492,200
1680109493,201
1680109494,199
1680109495,198
1680109496,199
1680109497,200
1680109498,198
1680109499,198
1680109500,199
1680109501,204
1680109502,203
1680109503,199
1680109504,196
1680109505,181
1680109506,172
1680109507,174
1680109508,172
1680109509,169
1680109510,170
1680109511,177
1680109512,181
1680109513,186
1680109514,183
1680109515,182
1680109516,183
1680109517,185
1680109518,176
1680109519,184
1680109520,190
1680109521,188
1680109522,195
1680109523,199
1680109524,197
1680109525,196
1680109526,195
1680109527,203
1680109528,204
1680109529,205
1680109530,191
1680109531,203
1680109532,201
1680109533,198
1680109534,190
1680109535,187
1680109536,189
1680109537,185
1680109538,187
1680109539,184
1680109540,187
1680109541,186
1680109542,187
1680109543,187
1680109544,189
1680109545,180
1680109546,190
1680109547,194
1680109548,186
1680109549,187
1680109550,186
1680109551,188
1680109552,190
1680109553,193
1680109554,194
1680109555,192
1680109556,186
1680109557,197
1680109558,193
1680109559,191
1680109560,195
1680109561,194
1680109562,197
1680109563,192
1680109564,197
1680109565,198
1680109566,203
1680109567,203
1680109568,201
1680109569,201
1680109570,194
1680109571,193
1680109572,188
1680109573,184
1680109574,184
1680109575,188
1680109576,189
1680109577,180
1680109578,179
1680109579,178
1680109580,180
1680109581,180
1680109582,178
1680109583,180
1680109584,175
1680109585,186
1680109586,194
1680109587,199
1680109588,197
1680109589,194
1680109590,179
1680109591,176
1680109592,178
1680109593,181
1680109594,178
1680109595,174
1680109596,174
1680109597,176
1680109598,174
1680109599,172
1680109600,169
1680109601,174
1680109602,177
1680109603,181
1680109604,177
1680109605,177
1680109606,176
1680109607,171
1680109608,171
1680109609,173
1680109610,163
1680109611,166
1680109612,165
1680109613,168
1680109614,171
1680109615,178
1680109616,178
1680109617,181
1680109618,168
1680109619,170
1680109620,171
1680109621,176
1680109622,171
1680109623,171
1680109624,171
