time,FPS
1680722641,164
1680722642,165
1680722643,163
1680722644,162
1680722645,167
1680722646,165
1680722647,163
1680722648,166
1680722649,166
1680722650,166
1680722651,165
1680722652,165
1680722653,164
1680722654,169
1680722655,175
1680722656,178
1680722657,174
1680722658,157
1680722659,156
1680722660,164
1680722661,147
1680722662,150
1680722663,152
1680722664,157
1680722665,156
1680722666,152
1680722667,148
1680722668,148
1680722669,148
1680722670,151
1680722671,151
1680722672,155
1680722673,148
1680722674,157
1680722675,162
1680722676,159
1680722677,155
1680722678,158
1680722679,161
1680722680,167
1680722681,166
1680722682,170
1680722683,170
1680722684,167
1680722685,162
1680722686,158
1680722687,150
1680722688,150
1680722689,155
1680722690,154
1680722691,151
1680722692,150
1680722693,151
1680722694,152
1680722695,152
1680722696,152
1680722697,154
1680722698,160
1680722699,159
1680722700,157
1680722701,150
1680722702,151
1680722703,149
1680722704,151
1680722705,155
1680722706,156
1680722707,155
1680722708,153
1680722709,157
1680722710,157
1680722711,152
1680722712,151
1680722713,154
1680722714,155
1680722715,155
1680722716,162
1680722717,163
1680722718,158
1680722719,154
1680722720,150
1680722721,148
1680722722,146
1680722723,146
1680722724,146
1680722725,147
1680722726,149
1680722727,150
1680722728,152
1680722729,150
1680722730,145
1680722731,146
1680722732,147
1680722733,149
1680722734,151
1680722735,164
1680722736,160
1680722737,159
1680722738,147
1680722739,156
1680722740,152
1680722741,150
1680722742,145
1680722743,142
1680722744,143
1680722745,146
1680722746,145
1680722747,141
1680722748,140
1680722749,142
1680722750,140
1680722751,138
1680722752,138
1680722753,139
1680722754,141
1680722755,144
1680722756,143
1680722757,142
1680722758,142
1680722759,138
1680722760,137
1680722761,137
1680722762,137
1680722763,134
1680722764,134
1680722765,140
1680722766,144
1680722767,149
1680722768,148
1680722769,148
1680722770,142
1680722771,140
1680722772,139
1680722773,141
1680722774,142
1680722775,142
1680722776,141
1680722777,139
