time,FPS
1675708551,160
1675708552,161
1675708553,160
1675708554,160
1675708555,161
1675708556,163
1675708557,160
1675708558,162
1675708559,163
1675708560,163
1675708561,163
1675708562,159
1675708563,160
1675708564,159
1675708565,166
1675708566,169
1675708567,173
1675708568,172
1675708569,155
1675708570,153
1675708571,161
1675708572,159
1675708573,149
1675708574,143
1675708575,144
1675708576,150
1675708577,155
1675708578,148
1675708579,146
1675708580,145
1675708581,146
1675708582,148
1675708583,148
1675708584,152
1675708585,148
1675708586,156
1675708587,159
1675708588,156
1675708589,154
1675708590,152
1675708591,159
1675708592,165
1675708593,165
1675708594,159
1675708595,164
1675708596,160
1675708597,153
1675708598,150
1675708599,147
1675708600,151
1675708601,151
1675708602,154
1675708603,151
1675708604,152
1675708605,159
1675708606,154
1675708607,157
1675708608,155
1675708609,159
1675708610,163
1675708611,158
1675708612,156
1675708613,147
1675708614,150
1675708615,148
1675708616,152
1675708617,155
1675708618,154
1675708619,154
1675708620,154
1675708621,161
1675708622,158
1675708623,155
1675708624,155
1675708625,158
1675708626,159
1675708627,158
1675708628,156
1675708629,154
1675708630,157
1675708631,156
1675708632,162
1675708633,155
1675708634,151
1675708635,147
1675708636,143
1675708637,141
1675708638,142
1675708639,144
1675708640,144
1675708641,147
1675708642,147
1675708643,144
1675708644,143
1675708645,145
1675708646,144
1675708647,142
1675708648,145
1675708649,164
1675708650,158
1675708651,156
1675708652,157
1675708653,155
1675708654,154
1675708655,153
1675708656,145
1675708657,140
1675708658,141
1675708659,143
1675708660,144
1675708661,144
1675708662,141
1675708663,141
1675708664,141
1675708665,139
1675708666,139
1675708667,138
1675708668,140
1675708669,144
1675708670,143
1675708671,139
1675708672,141
1675708673,136
1675708674,132
1675708675,132
1675708676,131
1675708677,128
1675708678,130
1675708679,130
1675708680,134
1675708681,136
1675708682,143
1675708683,145
1675708684,143
1675708685,139
1675708686,139
1675708687,142
1675708688,142
