time,FPS
1678207999,223
1678208000,216
1678208001,220
1678208002,193
1678208003,223
1678208004,225
1678208005,219
1678208006,223
1678208007,224
1678208008,227
1678208009,219
1678208010,212
1678208011,223
1678208012,226
1678208013,233
1678208014,232
1678208015,228
1678208016,235
1678208017,222
1678208018,212
1678208019,209
1678208020,206
1678208021,204
1678208022,205
1678208023,206
1678208024,211
1678208025,205
1678208026,211
1678208027,212
1678208028,212
1678208029,213
1678208030,211
1678208031,211
1678208032,217
1678208033,218
1678208034,219
1678208035,225
1678208036,226
1678208037,222
1678208038,223
1678208039,223
1678208040,230
1678208041,233
1678208042,229
1678208043,232
1678208044,233
1678208045,229
1678208046,225
1678208047,219
1678208048,219
1678208049,217
1678208050,220
1678208051,220
1678208052,222
1678208053,223
1678208054,226
1678208055,223
1678208056,224
1678208057,223
1678208058,228
1678208059,225
1678208060,227
1678208061,222
1678208062,219
1678208063,221
1678208064,223
1678208065,225
1678208066,225
1678208067,225
1678208068,224
1678208069,224
1678208070,234
1678208071,228
1678208072,231
1678208073,230
1678208074,234
1678208075,234
1678208076,231
1678208077,234
1678208078,236
1678208079,233
1678208080,230
1678208081,224
1678208082,222
1678208083,220
1678208084,220
1678208085,221
1678208086,222
1678208087,224
1678208088,225
1678208089,224
1678208090,220
1678208091,221
1678208092,224
1678208093,222
1678208094,223
1678208095,231
1678208096,235
1678208097,235
1678208098,234
1678208099,232
1678208100,235
1678208101,230
1678208102,221
1678208103,213
1678208104,213
1678208105,217
1678208106,219
1678208107,215
1678208108,212
1678208109,210
1678208110,211
1678208111,209
1678208112,208
1678208113,207
1678208114,211
1678208115,212
1678208116,214
1678208117,204
1678208118,213
1678208119,206
1678208120,196
1678208121,202
1678208122,203
1678208123,193
1678208124,197
1678208125,195
1678208126,200
1678208127,197
1678208128,203
1678208129,202
1678208130,205
1678208131,197
1678208132,203
1678208133,202
