time,FPS
1678830325,155
1678830326,156
1678830327,157
1678830328,157
1678830329,157
1678830330,159
1678830331,159
1678830332,160
1678830333,161
1678830334,161
1678830335,161
1678830336,160
1678830337,157
1678830338,158
1678830339,163
1678830340,165
1678830341,167
1678830342,169
1678830343,161
1678830344,150
1678830345,155
1678830346,155
1678830347,145
1678830348,142
1678830349,146
1678830350,151
1678830351,153
1678830352,146
1678830353,144
1678830354,144
1678830355,143
1678830356,145
1678830357,145
1678830358,149
1678830359,146
1678830360,154
1678830361,156
1678830362,154
1678830363,150
1678830364,151
1678830365,157
1678830366,162
1678830367,156
1678830368,160
1678830369,162
1678830370,157
1678830371,147
1678830372,148
1678830373,144
1678830374,149
1678830375,150
1678830376,150
1678830377,146
1678830378,151
1678830379,153
1678830380,151
1678830381,152
1678830382,150
1678830383,151
1678830384,159
1678830385,154
1678830386,148
1678830387,147
1678830388,145
1678830389,146
1678830390,148
1678830391,152
1678830392,152
1678830393,151
1678830394,149
1678830395,157
1678830396,156
1678830397,154
1678830398,151
1678830399,152
1678830400,154
1678830401,154
1678830402,153
1678830403,160
1678830404,157
1678830405,147
1678830406,154
1678830407,153
1678830408,148
1678830409,144
1678830410,142
1678830411,141
1678830412,146
1678830413,145
1678830414,148
1678830415,146
1678830416,146
1678830417,141
1678830418,141
1678830419,140
1678830420,144
1678830421,145
1678830422,160
1678830423,152
1678830424,156
1678830425,149
1678830426,155
1678830427,151
1678830428,148
1678830429,141
1678830430,140
1678830431,139
1678830432,143
1678830433,145
1678830434,141
1678830435,138
1678830436,141
1678830437,136
1678830438,137
1678830439,137
1678830440,136
1678830441,139
1678830442,144
1678830443,138
1678830444,136
1678830445,137
1678830446,131
1678830447,129
1678830448,130
1678830449,127
1678830450,124
1678830451,128
1678830452,128
1678830453,130
1678830454,134
1678830455,134
1678830456,137
1678830457,132
1678830458,134
