time,FPS
1680627517,89
1680627518,88
1680627519,88
1680627520,86
1680627521,91
1680627522,90
1680627523,89
1680627524,88
1680627525,89
1680627526,88
1680627527,87
1680627528,88
1680627529,88
1680627530,89
1680627531,90
1680627532,93
1680627533,97
1680627534,99
1680627535,93
1680627536,83
1680627537,88
1680627538,88
1680627539,82
1680627540,80
1680627541,81
1680627542,83
1680627543,84
1680627544,81
1680627545,79
1680627546,78
1680627547,80
1680627548,80
1680627549,82
1680627550,84
1680627551,81
1680627552,82
1680627553,84
1680627554,85
1680627555,82
1680627556,82
1680627557,83
1680627558,86
1680627559,87
1680627560,87
1680627561,89
1680627562,89
1680627563,86
1680627564,84
1680627565,80
1680627566,79
1680627567,81
1680627568,81
1680627569,81
1680627570,81
1680627571,82
1680627572,80
1680627573,82
1680627574,81
1680627575,82
1680627576,86
1680627577,83
1680627578,81
1680627579,77
1680627580,78
1680627581,77
1680627582,79
1680627583,80
1680627584,81
1680627585,82
1680627586,80
1680627587,81
1680627588,83
1680627589,82
1680627590,81
1680627591,82
1680627592,82
1680627593,83
1680627594,81
1680627595,81
1680627596,79
1680627597,85
1680627598,86
1680627599,81
1680627600,79
1680627601,79
1680627602,76
1680627603,75
1680627604,75
1680627605,75
1680627606,75
1680627607,77
1680627608,77
1680627609,78
1680627610,78
1680627611,76
1680627612,74
1680627613,75
1680627614,75
1680627615,76
1680627616,83
1680627617,86
1680627618,84
1680627619,84
1680627620,83
1680627621,82
1680627622,80
1680627623,78
1680627624,76
1680627625,74
1680627626,75
1680627627,77
1680627628,75
1680627629,73
1680627630,74
1680627631,73
1680627632,74
1680627633,72
1680627634,72
1680627635,74
1680627636,76
1680627637,79
1680627638,76
1680627639,76
1680627640,74
1680627641,72
1680627642,71
1680627643,72
1680627644,71
1680627645,72
1680627646,74
1680627647,74
1680627648,79
1680627649,81
1680627650,81
1680627651,82
1680627652,75
