time,FPS
1675715870,158
1675715871,158
1675715872,159
1675715873,157
1675715874,160
1675715875,162
1675715876,160
1675715877,159
1675715878,160
1675715879,159
1675715880,160
1675715881,156
1675715882,161
1675715883,165
1675715884,164
1675715885,163
1675715886,161
1675715887,148
1675715888,139
1675715889,137
1675715890,137
1675715891,135
1675715892,131
1675715893,137
1675715894,140
1675715895,143
1675715896,142
1675715897,143
1675715898,145
1675715899,146
1675715900,144
1675715901,145
1675715902,147
1675715903,149
1675715904,155
1675715905,160
1675715906,157
1675715907,152
1675715908,153
1675715909,160
1675715910,164
1675715911,163
1675715912,161
1675715913,164
1675715914,160
1675715915,156
1675715916,150
1675715917,147
1675715918,151
1675715919,151
1675715920,152
1675715921,148
1675715922,150
1675715923,154
1675715924,151
1675715925,152
1675715926,150
1675715927,152
1675715928,155
1675715929,158
1675715930,155
1675715931,151
1675715932,151
1675715933,148
1675715934,149
1675715935,155
1675715936,151
1675715937,153
1675715938,152
1675715939,161
1675715940,157
1675715941,158
1675715942,158
1675715943,155
1675715944,158
1675715945,153
1675715946,156
1675715947,163
1675715948,162
1675715949,158
1675715950,152
1675715951,154
1675715952,153
1675715953,151
1675715954,150
1675715955,147
1675715956,148
1675715957,150
1675715958,151
1675715959,152
1675715960,153
1675715961,148
1675715962,146
1675715963,148
1675715964,146
1675715965,150
1675715966,158
1675715967,161
1675715968,160
1675715969,156
1675715970,154
1675715971,156
1675715972,153
1675715973,152
1675715974,140
1675715975,140
1675715976,146
1675715977,147
1675715978,144
1675715979,142
1675715980,144
1675715981,141
1675715982,143
1675715983,142
1675715984,140
1675715985,140
1675715986,143
1675715987,147
1675715988,142
1675715989,143
1675715990,139
1675715991,136
1675715992,134
1675715993,137
1675715994,133
1675715995,134
1675715996,134
1675715997,132
1675715998,133
1675715999,140
1675716000,141
1675716001,140
