time,FPS
1675902462,161
1675902463,162
1675902464,161
1675902465,159
1675902466,161
1675902467,163
1675902468,162
1675902469,164
1675902470,159
1675902471,163
1675902472,163
1675902473,160
1675902474,160
1675902475,157
1675902476,164
1675902477,168
1675902478,172
1675902479,173
1675902480,169
1675902481,153
1675902482,154
1675902483,160
1675902484,147
1675902485,143
1675902486,147
1675902487,152
1675902488,157
1675902489,151
1675902490,146
1675902491,144
1675902492,144
1675902493,148
1675902494,147
1675902495,152
1675902496,148
1675902497,155
1675902498,159
1675902499,159
1675902500,152
1675902501,153
1675902502,160
1675902503,164
1675902504,165
1675902505,160
1675902506,165
1675902507,160
1675902508,156
1675902509,152
1675902510,146
1675902511,150
1675902512,152
1675902513,153
1675902514,154
1675902515,156
1675902516,158
1675902517,152
1675902518,157
1675902519,156
1675902520,159
1675902521,161
1675902522,159
1675902523,158
1675902524,147
1675902525,150
1675902526,149
1675902527,151
1675902528,156
1675902529,155
1675902530,156
1675902531,150
1675902532,160
1675902533,161
1675902534,159
1675902535,159
1675902536,155
1675902537,159
1675902538,157
1675902539,157
1675902540,158
1675902541,167
1675902542,162
1675902543,159
1675902544,156
1675902545,153
1675902546,147
1675902547,146
1675902548,148
1675902549,149
1675902550,148
1675902551,151
1675902552,148
1675902553,143
1675902554,147
1675902555,145
1675902556,148
1675902557,145
1675902558,145
1675902559,145
1675902560,144
1675902561,145
1675902562,144
1675902563,141
1675902564,141
1675902565,142
1675902566,142
1675902567,144
1675902568,148
1675902569,147
1675902570,145
1675902571,143
1675902572,143
1675902573,141
1675902574,141
1675902575,138
1675902576,140
1675902577,142
1675902578,145
1675902579,140
1675902580,140
1675902581,137
1675902582,133
1675902583,133
1675902584,135
1675902585,128
1675902586,132
1675902587,131
1675902588,134
1675902589,140
1675902590,138
1675902591,145
1675902592,147
1675902593,139
1675902594,143
1675902595,140
1675902596,143
1675902597,141
1675902598,142
1675902599,140
1675902600,146
