time,FPS
1677121629,203
1677121630,204
1677121631,203
1677121632,203
1677121633,207
1677121634,206
1677121635,206
1677121636,206
1677121637,206
1677121638,206
1677121639,207
1677121640,205
1677121641,202
1677121642,206
1677121643,211
1677121644,214
1677121645,215
1677121646,218
1677121647,200
1677121648,191
1677121649,201
1677121650,181
1677121651,187
1677121652,186
1677121653,194
1677121654,192
1677121655,194
1677121656,184
1677121657,183
1677121658,183
1677121659,183
1677121660,185
1677121661,190
1677121662,188
1677121663,189
1677121664,198
1677121665,198
1677121666,193
1677121667,195
1677121668,194
1677121669,202
1677121670,204
1677121671,205
1677121672,210
1677121673,210
1677121674,203
1677121675,198
1677121676,188
1677121677,186
1677121678,191
1677121679,189
1677121680,189
1677121681,189
1677121682,189
1677121683,194
1677121684,196
1677121685,194
1677121686,195
1677121687,200
1677121688,193
1677121689,200
1677121690,189
1677121691,186
1677121692,188
1677121693,190
1677121694,195
1677121695,193
1677121696,193
1677121697,190
1677121698,189
1677121699,202
1677121700,196
1677121701,196
1677121702,196
1677121703,195
1677121704,198
1677121705,197
1677121706,198
1677121707,205
1677121708,213
1677121709,208
1677121710,206
1677121711,200
1677121712,194
1677121713,182
1677121714,182
1677121715,185
1677121716,186
1677121717,189
1677121718,187
1677121719,181
1677121720,179
1677121721,180
1677121722,182
1677121723,184
1677121724,186
1677121725,184
1677121726,184
1677121727,185
1677121728,185
1677121729,183
1677121730,180
1677121731,181
1677121732,179
1677121733,179
1677121734,184
1677121735,185
1677121736,181
1677121737,178
1677121738,178
1677121739,178
1677121740,176
1677121741,176
1677121742,174
1677121743,175
1677121744,179
1677121745,181
1677121746,173
1677121747,175
1677121748,171
1677121749,169
1677121750,167
1677121751,169
1677121752,164
1677121753,166
1677121754,165
1677121755,174
1677121756,178
1677121757,184
1677121758,185
1677121759,185
1677121760,172
1677121761,178
1677121762,174
1677121763,180
1677121764,180
