time,FPS
1680381442,113
1680381443,113
1680381444,114
1680381445,115
1680381446,115
1680381447,115
1680381448,115
1680381449,115
1680381450,114
1680381451,116
1680381452,114
1680381453,115
1680381454,114
1680381455,119
1680381456,122
1680381457,126
1680381458,123
1680381459,109
1680381460,112
1680381461,116
1680381462,108
1680381463,105
1680381464,105
1680381465,109
1680381466,109
1680381467,106
1680381468,102
1680381469,101
1680381470,102
1680381471,102
1680381472,104
1680381473,104
1680381474,103
1680381475,105
1680381476,109
1680381477,109
1680381478,107
1680381479,105
1680381480,107
1680381481,112
1680381482,110
1680381483,114
1680381484,113
1680381485,115
1680381486,110
1680381487,108
1680381488,103
1680381489,103
1680381490,106
1680381491,105
1680381492,106
1680381493,105
1680381494,106
1680381495,105
1680381496,107
1680381497,105
1680381498,107
1680381499,112
1680381500,108
1680381501,107
1680381502,101
1680381503,100
1680381504,100
1680381505,101
1680381506,104
1680381507,105
1680381508,105
1680381509,103
1680381510,106
1680381511,109
1680381512,108
1680381513,106
1680381514,106
1680381515,107
1680381516,108
1680381517,105
1680381518,104
1680381519,105
1680381520,108
1680381521,112
1680381522,107
1680381523,104
1680381524,100
1680381525,98
1680381526,97
1680381527,98
1680381528,100
1680381529,100
1680381530,102
1680381531,103
1680381532,99
1680381533,96
1680381534,98
1680381535,98
1680381536,98
1680381537,103
1680381538,113
1680381539,108
1680381540,108
1680381541,109
1680381542,109
1680381543,107
1680381544,107
1680381545,105
1680381546,105
1680381547,101
1680381548,97
1680381549,97
1680381550,98
1680381551,100
1680381552,98
1680381553,96
1680381554,95
1680381555,96
1680381556,96
1680381557,95
1680381558,94
1680381559,96
1680381560,99
1680381561,101
1680381562,99
1680381563,99
1680381564,96
1680381565,93
1680381566,93
1680381567,94
1680381568,93
1680381569,94
1680381570,95
1680381571,97
1680381572,100
1680381573,103
1680381574,104
1680381575,105
