time,FPS
1680117763,188
1680117764,189
1680117765,189
1680117766,190
1680117767,193
1680117768,195
1680117769,193
1680117770,193
1680117771,192
1680117772,195
1680117773,193
1680117774,194
1680117775,209
1680117776,206
1680117777,197
1680117778,193
1680117779,180
1680117780,168
1680117781,162
1680117782,164
1680117783,162
1680117784,156
1680117785,158
1680117786,164
1680117787,167
1680117788,170
1680117789,169
1680117790,172
1680117791,171
1680117792,168
1680117793,173
1680117794,177
1680117795,185
1680117796,187
1680117797,187
1680117798,191
1680117799,188
1680117800,184
1680117801,192
1680117802,196
1680117803,200
1680117804,191
1680117805,193
1680117806,192
1680117807,196
1680117808,188
1680117809,191
1680117810,193
1680117811,183
1680117812,171
1680117813,175
1680117814,163
1680117815,171
1680117816,175
1680117817,172
1680117818,173
1680117819,174
1680117820,176
1680117821,190
1680117822,192
1680117823,188
1680117824,198
1680117825,192
1680117826,192
1680117827,195
1680117828,198
1680117829,195
1680117830,194
1680117831,201
1680117832,196
1680117833,192
1680117834,193
1680117835,198
1680117836,191
1680117837,187
1680117838,187
1680117839,192
1680117840,215
1680117841,212
1680117842,208
1680117843,200
1680117844,195
1680117845,204
1680117846,201
1680117847,209
1680117848,210
1680117849,208
1680117850,210
1680117851,213
1680117852,212
1680117853,208
1680117854,211
1680117855,207
1680117856,212
1680117857,209
1680117858,209
1680117859,205
1680117860,199
1680117861,203
1680117862,193
1680117863,202
1680117864,199
1680117865,199
1680117866,195
1680117867,194
1680117868,191
1680117869,190
1680117870,197
1680117871,197
1680117872,193
1680117873,194
1680117874,195
1680117875,197
1680117876,202
1680117877,201
1680117878,202
1680117879,205
1680117880,204
1680117881,197
1680117882,204
1680117883,200
1680117884,199
1680117885,200
1680117886,196
1680117887,185
1680117888,187
1680117889,191
1680117890,190
1680117891,197
1680117892,196
1680117893,197
1680117894,192
1680117895,193
