time,FPS
1674852816,160
1674852817,161
1674852818,159
1674852819,157
1674852820,162
1674852821,162
1674852822,162
1674852823,160
1674852824,162
1674852825,162
1674852826,163
1674852827,161
1674852828,162
1674852829,162
1674852830,166
1674852831,172
1674852832,172
1674852833,172
1674852834,154
1674852835,154
1674852836,160
1674852837,150
1674852838,146
1674852839,147
1674852840,154
1674852841,153
1674852842,153
1674852843,146
1674852844,145
1674852845,147
1674852846,145
1674852847,146
1674852848,150
1674852849,148
1674852850,155
1674852851,160
1674852852,158
1674852853,153
1674852854,153
1674852855,155
1674852856,164
1674852857,166
1674852858,163
1674852859,164
1674852860,160
1674852861,156
1674852862,154
1674852863,147
1674852864,149
1674852865,152
1674852866,150
1674852867,151
1674852868,153
1674852869,155
1674852870,153
1674852871,151
1674852872,151
1674852873,156
1674852874,160
1674852875,155
1674852876,155
1674852877,150
1674852878,151
1674852879,151
1674852880,150
1674852881,155
1674852882,156
1674852883,156
1674852884,151
1674852885,160
1674852886,159
1674852887,157
1674852888,154
1674852889,155
1674852890,156
1674852891,155
1674852892,157
1674852893,157
1674852894,160
1674852895,166
1674852896,161
1674852897,158
1674852898,154
1674852899,149
1674852900,146
1674852901,147
1674852902,148
1674852903,149
1674852904,150
1674852905,151
1674852906,146
1674852907,145
1674852908,146
1674852909,148
1674852910,147
1674852911,147
1674852912,158
1674852913,163
1674852914,161
1674852915,159
1674852916,159
1674852917,158
1674852918,148
1674852919,140
1674852920,140
1674852921,143
1674852922,145
1674852923,144
1674852924,141
1674852925,141
1674852926,141
1674852927,138
1674852928,139
1674852929,137
1674852930,139
1674852931,142
1674852932,144
1674852933,140
1674852934,140
1674852935,138
1674852936,132
1674852937,132
1674852938,135
1674852939,129
1674852940,131
1674852941,129
1674852942,131
1674852943,133
1674852944,136
1674852945,139
1674852946,144
1674852947,137
1674852948,144
1674852949,139
1674852950,143
1674852951,142
1674852952,143
1674852953,143
