time,FPS
1675797772,160
1675797773,159
1675797774,159
1675797775,158
1675797776,156
1675797777,161
1675797778,162
1675797779,158
1675797780,161
1675797781,162
1675797782,160
1675797783,159
1675797784,159
1675797785,161
1675797786,166
1675797787,169
1675797788,169
1675797789,175
1675797790,156
1675797791,153
1675797792,161
1675797793,154
1675797794,147
1675797795,145
1675797796,151
1675797797,153
1675797798,154
1675797799,145
1675797800,145
1675797801,147
1675797802,145
1675797803,149
1675797804,150
1675797805,151
1675797806,152
1675797807,160
1675797808,158
1675797809,153
1675797810,153
1675797811,153
1675797812,159
1675797813,161
1675797814,158
1675797815,164
1675797816,162
1675797817,158
1675797818,154
1675797819,148
1675797820,148
1675797821,153
1675797822,151
1675797823,154
1675797824,152
1675797825,153
1675797826,154
1675797827,155
1675797828,155
1675797829,153
1675797830,160
1675797831,158
1675797832,156
1675797833,152
1675797834,151
1675797835,150
1675797836,150
1675797837,152
1675797838,156
1675797839,156
1675797840,153
1675797841,152
1675797842,163
1675797843,160
1675797844,159
1675797845,159
1675797846,158
1675797847,158
1675797848,156
1675797849,158
1675797850,163
1675797851,167
1675797852,159
1675797853,156
1675797854,149
1675797855,145
1675797856,145
1675797857,146
1675797858,148
1675797859,147
1675797860,150
1675797861,150
1675797862,145
1675797863,146
1675797864,147
1675797865,147
1675797866,147
1675797867,147
1675797868,158
1675797869,166
1675797870,165
1675797871,161
1675797872,161
1675797873,162
1675797874,147
1675797875,143
1675797876,143
1675797877,145
1675797878,148
1675797879,146
1675797880,143
1675797881,143
1675797882,142
1675797883,141
1675797884,138
1675797885,138
1675797886,140
1675797887,143
1675797888,145
1675797889,139
1675797890,142
1675797891,137
1675797892,132
1675797893,133
1675797894,133
1675797895,128
1675797896,129
1675797897,130
1675797898,135
1675797899,135
1675797900,141
1675797901,142
1675797902,144
1675797903,138
1675797904,143
1675797905,138
1675797906,143
1675797907,144
1675797908,143
