time,FPS
1678917965,160
1678917966,160
1678917967,159
1678917968,160
1678917969,162
1678917970,164
1678917971,163
1678917972,162
1678917973,163
1678917974,164
1678917975,163
1678917976,162
1678917977,162
1678917978,163
1678917979,165
1678917980,168
1678917981,173
1678917982,169
1678917983,156
1678917984,155
1678917985,160
1678917986,151
1678917987,146
1678917988,148
1678917989,154
1678917990,157
1678917991,152
1678917992,147
1678917993,146
1678917994,144
1678917995,147
1678917996,149
1678917997,152
1678917998,151
1678917999,154
1678918000,159
1678918001,157
1678918002,151
1678918003,152
1678918004,157
1678918005,160
1678918006,161
1678918007,160
1678918008,162
1678918009,160
1678918010,152
1678918011,151
1678918012,148
1678918013,150
1678918014,154
1678918015,153
1678918016,152
1678918017,154
1678918018,156
1678918019,153
1678918020,158
1678918021,155
1678918022,157
1678918023,162
1678918024,156
1678918025,155
1678918026,149
1678918027,151
1678918028,150
1678918029,150
1678918030,156
1678918031,155
1678918032,156
1678918033,152
1678918034,161
1678918035,161
1678918036,159
1678918037,158
1678918038,158
1678918039,159
1678918040,156
1678918041,158
1678918042,157
1678918043,165
1678918044,166
1678918045,164
1678918046,163
1678918047,159
1678918048,155
1678918049,151
1678918050,149
1678918051,149
1678918052,151
1678918053,151
1678918054,151
1678918055,144
1678918056,147
1678918057,148
1678918058,148
1678918059,149
1678918060,164
1678918061,161
1678918062,162
1678918063,154
1678918064,159
1678918065,156
1678918066,156
1678918067,144
1678918068,143
1678918069,143
1678918070,148
1678918071,148
1678918072,143
1678918073,141
1678918074,143
1678918075,143
1678918076,141
1678918077,139
1678918078,141
1678918079,140
1678918080,145
1678918081,146
1678918082,140
1678918083,142
1678918084,137
1678918085,134
1678918086,134
1678918087,132
1678918088,131
1678918089,131
1678918090,130
1678918091,134
1678918092,138
1678918093,141
1678918094,140
1678918095,141
1678918096,135
1678918097,141
1678918098,137
1678918099,139
